config:	0.12886831164360046	0.14119228720664978
time:1715988152.1067429	freq:465.1359	ampl:0.18599549
time:1715988152.188929	freq:232.63583	ampl:0.23454328
time:1715988152.274286	freq:261.28717	ampl:0.41265562
time:1715988152.383935	freq:261.06058	ampl:0.3669114
time:1715988152.466757	freq:260.6075	ampl:0.33082545
time:1715988152.551739	freq:261.19714	ampl:0.25565907
time:1715988152.659364	freq:293.22992	ampl:0.30317715
time:1715988152.743651	freq:292.7169	ampl:0.32938874
time:1715988152.829576	freq:293.8976	ampl:0.2770604
time:1715988152.9363909	freq:311.67218	ampl:0.22031982
time:1715988153.021591	freq:309.6918	ampl:0.13737968
time:1715988153.1070461	freq:349.61316	ampl:0.2988545
time:1715988153.21194	freq:349.3406	ampl:0.18909322
time:1715988153.381722	freq:391.94016	ampl:0.5298327
time:1715988153.490329	freq:390.25516	ampl:0.59693354
time:1715988153.577404	freq:389.8941	ampl:0.46131685
time:1715988153.683032	freq:439.19427	ampl:0.38646373
time:1715988153.7653131	freq:438.49017	ampl:0.38519052
time:1715988153.852999	freq:438.79285	ampl:0.329965
time:1715988153.960633	freq:465.11093	ampl:0.31304526
time:1715988154.0423021	freq:465.11826	ampl:0.23420031
time:1715988154.132009	freq:464.69775	ampl:0.25139225
time:1715988154.238472	freq:520.9229	ampl:0.43646398
time:1715988154.322496	freq:521.7853	ampl:0.36293298
time:1715988154.4327831	freq:521.2478	ampl:0.31545746
time:1715988154.515369	freq:583.97595	ampl:0.36571127
time:1715988154.59975	freq:575.1701	ampl:0.40060943
time:1715988154.6877909	freq:585.2643	ampl:0.56015515
time:1715988154.814398	freq:620.2499	ampl:0.68684465
time:1715988154.874257	freq:621.0996	ampl:0.5103552
time:1715988154.98628	freq:698.6455	ampl:0.41389528
time:1715988155.0667272	freq:697.4586	ampl:0.5001522
time:1715988155.154138	freq:697.1004	ampl:0.34365588
time:1715988155.263556	freq:785.3483	ampl:0.33159873
time:1715988155.354475	freq:781.5152	ampl:0.4736479
time:1715988155.433797	freq:782.49176	ampl:0.38021383
time:1715988155.540732	freq:784.45404	ampl:0.29326442
time:1715988155.709485	freq:925.9335	ampl:0.16019675
time:1715988155.818136	freq:928.6735	ampl:0.31326118
time:1715988155.9053469	freq:929.27374	ampl:0.29113314
time:1715988155.987111	freq:928.733	ampl:0.24046643
time:1715988156.0935678	freq:877.9675	ampl:0.28029218
time:1715988156.177341	freq:879.24255	ampl:0.1396195
time:1715988156.26597	freq:787.7019	ampl:0.22981857
time:1715988156.376051	freq:781.52344	ampl:0.5363026
time:1715988156.456033	freq:782.1496	ampl:0.46554294
time:1715988156.5650601	freq:697.9835	ampl:0.46883774
time:1715988156.650368	freq:697.31464	ampl:0.44589034
time:1715988156.735678	freq:697.3875	ampl:0.32700297
time:1715988156.837713	freq:620.2749	ampl:0.41568345
time:1715988156.925836	freq:620.2874	ampl:0.5625732
time:1715988157.010583	freq:620.69574	ampl:0.4337044
time:1715988157.119684	freq:621.81464	ampl:0.35867995
time:1715988157.200768	freq:584.1311	ampl:0.34834677
time:1715988157.2876282	freq:585.74255	ampl:0.39532936
time:1715988157.397153	freq:586.42255	ampl:0.3392066
time:1715988157.482061	freq:521.43835	ampl:0.44339973
time:1715988157.5677009	freq:521.15643	ampl:0.3721622
time:1715988157.674151	freq:519.72034	ampl:0.2563728
time:1715988157.759749	freq:465.4343	ampl:0.18546219
time:1715988157.8410769	freq:464.61618	ampl:0.20959935
time:1715988157.951685	freq:438.63028	ampl:0.36314055
time:1715988158.034669	freq:439.03644	ampl:0.40205792
time:1715988158.141951	freq:438.68713	ampl:0.41472828
time:1715988158.228868	freq:390.05435	ampl:0.79663223
time:1715988158.311863	freq:390.08588	ampl:0.6393471
time:1715988158.420846	freq:390.35147	ampl:0.4507726
time:1715988158.506423	freq:349.22067	ampl:0.3374349
time:1715988158.5877938	freq:348.74768	ampl:0.15440379
time:1715988158.698143	freq:349.85114	ampl:0.26770982
time:1715988158.7867389	freq:310.37927	ampl:0.25793135
time:1715988158.869341	freq:309.13608	ampl:0.16462684
time:1715988158.975718	freq:294.44403	ampl:0.24638414
time:1715988159.055616	freq:293.0514	ampl:0.38684174
time:1715988159.1464791	freq:292.86072	ampl:0.3648379
time:1715988159.2530332	freq:293.52982	ampl:0.3526922
time:1715988159.3325	freq:261.26584	ampl:0.3405626
time:1715988159.419868	freq:260.5068	ampl:0.29731
time:1715988159.530243	freq:260.90173	ampl:0.2413132
time:1715988159.6120281	freq:261.72314	ampl:0.4004986
time:1715988159.722258	freq:232.3196	ampl:0.40870818
time:1715988159.803976	freq:232.36511	ampl:0.3560198
time:1715988159.889925	freq:232.54645	ampl:0.27715653
time:1715988160.024313	freq:232.40413	ampl:0.20162226
time:1715988160.083846	freq:232.4928	ampl:0.16851677
time:1715988160.170223	freq:232.47151	ampl:0.13759512
