config:	0.12886831164360046	0.07366633415222168
time:1716010533.98423	freq:100.0	ampl:6.309573e-08
time:1716010534.095114	freq:100.0	ampl:0.016928304
time:1716010534.179771	freq:80.26185	ampl:0.07553962
time:1716010534.264812	freq:130.12323	ampl:0.4376483
time:1716010534.371511	freq:130.48695	ampl:0.4262481
time:1716010534.457119	freq:130.56715	ampl:0.31785864
time:1716010534.542366	freq:130.48067	ampl:0.25338945
time:1716010534.6492229	freq:130.63762	ampl:0.25683713
time:1716010534.734241	freq:145.37761	ampl:0.47994533
time:1716010534.8195019	freq:146.14067	ampl:0.4149021
time:1716010534.926214	freq:146.25941	ampl:0.34240788
time:1716010535.0114322	freq:146.53055	ampl:0.27545595
time:1716010535.0968618	freq:146.36018	ampl:0.2870644
time:1716010535.203796	freq:163.98654	ampl:0.31919602
time:1716010535.2888699	freq:163.83153	ampl:0.28568646
time:1716010535.374263	freq:164.05453	ampl:0.24987563
time:1716010535.480885	freq:164.11336	ampl:0.23838988
time:1716010535.5662541	freq:175.47076	ampl:0.5222019
time:1716010535.672834	freq:174.95013	ampl:0.42697656
time:1716010535.758218	freq:174.39412	ampl:0.3460847
time:1716010535.843898	freq:173.92879	ampl:0.2851552
time:1716010535.950386	freq:347.9905	ampl:0.36938354
time:1716010536.035603	freq:195.61864	ampl:0.49336073
time:1716010536.121239	freq:195.15384	ampl:0.46200052
time:1716010536.227787	freq:194.71349	ampl:0.42021394
time:1716010536.312957	freq:194.76674	ampl:0.38540846
time:1716010536.398436	freq:195.04973	ampl:0.45051888
time:1716010536.504836	freq:219.47354	ampl:0.45390186
time:1716010536.5903149	freq:219.17003	ampl:0.32938236
time:1716010536.675595	freq:219.40446	ampl:0.24329124
time:1716010536.781126	freq:219.48314	ampl:0.22067872
time:1716010536.867691	freq:246.37006	ampl:0.26870117
time:1716010536.9745688	freq:246.29448	ampl:0.16856356
time:1716010537.05969	freq:246.07166	ampl:0.1457671
time:1716010537.145206	freq:246.68689	ampl:0.13504523
time:1716010537.2517982	freq:260.90762	ampl:0.43155015
time:1716010537.3369799	freq:260.78656	ampl:0.48956153
time:1716010537.422216	freq:260.43292	ampl:0.36525252
time:1716010537.529072	freq:260.50885	ampl:0.2891913
time:1716010537.614318	freq:260.5317	ampl:0.24584608
time:1716010537.699679	freq:263.4413	ampl:0.31427237
time:1716010537.806253	freq:246.63913	ampl:0.18814637
time:1716010537.891809	freq:246.39836	ampl:0.14898732
time:1716010537.9771209	freq:246.95909	ampl:0.13320036
time:1716010538.083751	freq:219.6745	ampl:0.36321425
time:1716010538.169044	freq:219.59871	ampl:0.4477589
time:1716010538.254321	freq:219.33038	ampl:0.3498622
time:1716010538.361113	freq:219.23402	ampl:0.26174757
time:1716010538.4464068	freq:55.212555	ampl:0.3988269
time:1716010538.5530028	freq:195.61499	ampl:0.5017979
time:1716010538.6384912	freq:194.9239	ampl:0.51516265
time:1716010538.72371	freq:194.72777	ampl:0.4659373
time:1716010538.830312	freq:194.89838	ampl:0.43212178
time:1716010538.9156141	freq:175.09338	ampl:0.47777456
time:1716010539.000936	freq:173.94698	ampl:0.4090138
time:1716010539.107846	freq:173.54	ampl:0.3515957
time:1716010539.193235	freq:174.07007	ampl:0.30652317
time:1716010539.278362	freq:327.34055	ampl:0.40127364
time:1716010539.38513	freq:163.73647	ampl:0.4155889
time:1716010539.470426	freq:163.82448	ampl:0.32076263
time:1716010539.555852	freq:163.74808	ampl:0.27152976
time:1716010539.662314	freq:327.0729	ampl:0.3193525
time:1716010539.747641	freq:145.71225	ampl:0.45691237
time:1716010539.833245	freq:146.34479	ampl:0.32355613
time:1716010539.939719	freq:146.29657	ampl:0.28423822
time:1716010540.025151	freq:146.4738	ampl:0.29207417
time:1716010540.132036	freq:130.29643	ampl:0.48995125
time:1716010540.216995	freq:130.46486	ampl:0.34907085
time:1716010540.3022919	freq:130.4846	ampl:0.2927201
time:1716010540.4090319	freq:130.4506	ampl:0.2260503
time:1716010540.494484	freq:130.71674	ampl:0.20870522
time:1716010540.579606	freq:130.22816	ampl:0.14714755
time:1716010540.686389	freq:130.73122	ampl:0.10409501
time:1716010540.7721338	freq:130.75584	ampl:0.08521107
time:1716010540.8571181	freq:130.80424	ampl:0.06818873
time:1716010540.964129	freq:65.02419	ampl:0.05125561
time:1716010541.049607	freq:64.9578	ampl:0.044472866
time:1716010541.13486	freq:144.52008	ampl:0.03792631
time:1716010541.2418342	freq:129.28151	ampl:0.029533427
time:1716010541.327528	freq:142.29964	ampl:0.031780284
time:1716010541.412405	freq:163.12518	ampl:0.02692233
time:1716010541.519283	freq:32.442043	ampl:0.02462444
time:1716010541.598882	freq:65.00435	ampl:0.032686803
time:1716010541.71102	freq:48.673023	ampl:0.023232723
time:1716010541.7953072	freq:48.355522	ampl:0.022239834
time:1716010541.8823361	freq:52.52964	ampl:0.03106383
time:1716010541.988745	freq:129.82439	ampl:0.02877765
time:1716010542.0741	freq:64.98488	ampl:0.02660724
time:1716010542.159107	freq:63.973183	ampl:0.02423428
time:1716010542.26576	freq:65.24878	ampl:0.02104841
time:1716010542.351037	freq:48.10111	ampl:0.020019526
time:1716010542.436666	freq:48.7199	ampl:0.020274857
time:1716010542.543054	freq:32.420807	ampl:0.018519897
time:1716010542.628403	freq:32.4149	ampl:0.0164862
time:1716010542.713814	freq:20.371168	ampl:0.01657715
time:1716010542.820369	freq:31.81815	ampl:0.016679624
time:1716010542.905731	freq:33.20684	ampl:0.01736812
time:1716010543.0125751	freq:32.498745	ampl:0.014808701
time:1716010543.098037	freq:64.90929	ampl:0.014195114
time:1716010543.183466	freq:64.7835	ampl:0.013678966
