config:	0.033	0.3265833556652069
time:1714618083.1327782	freq:220.86423	ampl:0.20540832
time:1714618083.218162	freq:205.73874	ampl:0.37989637
time:1714618083.303544	freq:207.44984	ampl:0.25714052
time:1714618083.410222	freq:207.60422	ampl:0.28078994
time:1714618083.4953709	freq:233.47226	ampl:0.64648443
time:1714618083.6022692	freq:232.3668	ampl:0.5528271
time:1714618083.687516	freq:232.84656	ampl:0.48708832
time:1714618083.773045	freq:261.81622	ampl:0.5429746
time:1714618083.8794022	freq:260.9221	ampl:0.45981073
time:1714618083.9647431	freq:261.12143	ampl:0.4257927
time:1714618084.050266	freq:275.5052	ampl:0.46182445
time:1714618084.15659	freq:276.96417	ampl:0.45078924
time:1714618084.242296	freq:276.90903	ampl:0.34947795
time:1714618084.327385	freq:310.4532	ampl:0.41030273
time:1714618084.434143	freq:310.23074	ampl:0.35530907
time:1714618084.519649	freq:307.7212	ampl:0.47973248
time:1714618084.604725	freq:348.49075	ampl:0.41778344
time:1714618084.711652	freq:348.29532	ampl:0.3188662
time:1714618084.796619	freq:391.6443	ampl:0.661304
time:1714618084.9034371	freq:390.9559	ampl:0.35200018
time:1714618084.98939	freq:390.49496	ampl:0.35041547
time:1714618085.073931	freq:411.76694	ampl:0.4881694
time:1714618085.180708	freq:415.27066	ampl:0.22866277
time:1714618085.266268	freq:414.90027	ampl:0.29493007
time:1714618085.3517919	freq:464.37125	ampl:0.29057798
time:1714618085.458544	freq:466.51834	ampl:0.19841668
time:1714618085.5432649	freq:465.03732	ampl:0.21898684
time:1714618085.628727	freq:523.5777	ampl:0.2311456
time:1714618085.7356539	freq:521.7464	ampl:0.21120979
time:1714618085.820895	freq:553.5974	ampl:0.18949959
time:1714618085.90632	freq:553.73035	ampl:0.16786143
time:1714618086.012939	freq:619.34814	ampl:0.3737914
time:1714618086.098024	freq:620.3419	ampl:0.41260633
time:1714618086.183519	freq:622.42474	ampl:0.32095683
time:1714618086.290007	freq:697.30347	ampl:0.7041871
time:1714618086.375166	freq:697.37775	ampl:0.73503363
time:1714618086.482235	freq:697.74365	ampl:0.4638979
time:1714618086.567239	freq:783.41907	ampl:0.42650354
time:1714618086.6528912	freq:783.102	ampl:0.39175373
time:1714618086.759382	freq:782.88586	ampl:0.2989099
time:1714618086.844836	freq:829.65845	ampl:0.24738841
time:1714618086.9300342	freq:828.0163	ampl:0.16808924
time:1714618087.036773	freq:782.27905	ampl:0.30052236
time:1714618087.122097	freq:782.6684	ampl:0.4737881
time:1714618087.207234	freq:783.2698	ampl:0.4119382
time:1714618087.314045	freq:697.25507	ampl:0.6618997
time:1714618087.399452	freq:697.41516	ampl:0.6969481
time:1714618087.484785	freq:697.7904	ampl:0.44522813
time:1714618087.5912151	freq:619.77	ampl:0.5396814
time:1714618087.676552	freq:621.8583	ampl:0.4382103
time:1714618087.76208	freq:621.4146	ampl:0.35503235
time:1714618087.868696	freq:620.73285	ampl:0.2517135
time:1714618087.953998	freq:553.7156	ampl:0.16953674
time:1714618088.060704	freq:555.84094	ampl:0.22297142
time:1714618088.1460361	freq:524.1129	ampl:0.2305849
time:1714618088.2312799	freq:522.30963	ampl:0.2687708
time:1714618088.33793	freq:464.75766	ampl:0.34392375
time:1714618088.423331	freq:464.0818	ampl:0.2897247
time:1714618088.5088139	freq:467.9443	ampl:0.39482096
time:1714618088.615265	freq:413.80237	ampl:0.47712284
time:1714618088.700645	freq:414.45724	ampl:0.25231782
time:1714618088.786096	freq:392.18814	ampl:0.6809242
time:1714618088.892699	freq:391.08505	ampl:0.4785011
time:1714618088.977903	freq:392.4097	ampl:0.31993368
time:1714618089.06334	freq:347.9133	ampl:0.5894639
time:1714618089.170113	freq:348.17282	ampl:0.431283
time:1714618089.255437	freq:349.1615	ampl:0.3498041
time:1714618089.340869	freq:310.9227	ampl:0.48533902
time:1714618089.447287	freq:310.60626	ampl:0.44587505
time:1714618089.532659	freq:310.1856	ampl:0.4573882
time:1714618089.6393828	freq:277.13715	ampl:0.43583265
time:1714618089.724677	freq:276.51273	ampl:0.3509388
time:1714618089.809998	freq:262.45602	ampl:0.47496608
time:1714618089.9165769	freq:260.85947	ampl:0.4755814
time:1714618090.001889	freq:261.31494	ampl:0.38497707
time:1714618090.087318	freq:465.16818	ampl:0.60147035
time:1714618090.194017	freq:232.43797	ampl:0.53482455
time:1714618090.279259	freq:232.60556	ampl:0.45827976
time:1714618090.364594	freq:58.68356	ampl:0.40980494
time:1714618090.471212	freq:206.99918	ampl:0.22920008
time:1714618090.556913	freq:207.04909	ampl:0.1907236
time:1714618090.641912	freq:206.8034	ampl:0.16411054
time:1714618090.748734	freq:206.74214	ampl:0.16242763
time:1714618090.834172	freq:207.12631	ampl:0.15124573
time:1714618090.9193978	freq:206.92204	ampl:0.13476937
time:1714618091.0261111	freq:206.92853	ampl:0.1274786
time:1714618091.1113338	freq:206.8538	ampl:0.13141672
time:1714618091.218256	freq:206.914	ampl:0.12371911
time:1714618091.3036861	freq:206.79431	ampl:0.10946488
time:1714618091.388894	freq:207.4167	ampl:0.097079664
time:1714618091.4952478	freq:103.30869	ampl:0.082994126
time:1714618091.580759	freq:26.331062	ampl:0.04839084
time:1714618091.6665359	freq:45.795197	ampl:0.03517466
time:1714618091.7776608	freq:91.538734	ampl:0.033498485
