config:	0.033	0.3265833556652069
time:1714617760.079537	freq:521.8603	ampl:0.20346305
time:1714617760.164437	freq:261.84756	ampl:0.42493
time:1714617760.271266	freq:260.72684	ampl:0.3593327
time:1714617760.3565168	freq:260.8726	ampl:0.30134046
time:1714617760.441792	freq:261.28845	ampl:0.28292155
time:1714617760.548547	freq:292.54333	ampl:0.4009907
time:1714617760.633745	freq:292.9558	ampl:0.39695606
time:1714617760.719269	freq:292.90817	ampl:0.35432702
time:1714617760.826044	freq:292.87762	ampl:0.32913595
time:1714617760.911319	freq:328.54547	ampl:0.22073804
time:1714617760.996368	freq:328.58658	ampl:0.2120217
time:1714617761.1031141	freq:347.69836	ampl:0.45037484
time:1714617761.18841	freq:348.3905	ampl:0.39048192
time:1714617761.2736459	freq:347.69415	ampl:0.2769171
time:1714617761.38079	freq:99.27718	ampl:0.5152015
time:1714617761.465714	freq:390.30954	ampl:0.75273615
time:1714617761.572639	freq:391.7244	ampl:0.2811799
time:1714617761.657969	freq:391.37796	ampl:0.19052234
time:1714617761.743341	freq:438.08817	ampl:0.5273566
time:1714617761.849736	freq:438.79715	ampl:0.6038169
time:1714617761.935036	freq:438.86008	ampl:0.5135141
time:1714617762.021463	freq:438.31882	ampl:0.5406597
time:1714617762.127341	freq:492.74237	ampl:0.4809041
time:1714617762.21249	freq:492.78073	ampl:0.31538904
time:1714617762.297987	freq:492.92255	ampl:0.18607964
time:1714617762.404461	freq:521.2363	ampl:0.26595554
time:1714617762.4897308	freq:522.9497	ampl:0.29988477
time:1714617762.575357	freq:522.232	ampl:0.24482098
time:1714617762.682076	freq:492.9619	ampl:0.40167424
time:1714617762.767379	freq:492.19608	ampl:0.24914342
time:1714617762.852344	freq:493.21423	ampl:0.28019372
time:1714617762.959218	freq:438.72885	ampl:0.655039
time:1714617763.044334	freq:438.20718	ampl:0.6271919
time:1714617763.1510239	freq:438.9107	ampl:0.6046183
time:1714617763.2365022	freq:390.4019	ampl:0.7960789
time:1714617763.3218079	freq:391.39996	ampl:0.38331494
time:1714617763.42867	freq:391.38684	ampl:0.15876526
time:1714617763.5137892	freq:347.3581	ampl:0.4160871
time:1714617763.599492	freq:348.71597	ampl:0.41947415
time:1714617763.70574	freq:347.8324	ampl:0.27375597
time:1714617763.7911801	freq:346.41473	ampl:0.28322712
time:1714617763.876411	freq:328.11206	ampl:0.22186683
time:1714617763.983381	freq:328.74445	ampl:0.20318945
time:1714617764.0685039	freq:328.23157	ampl:0.19784135
time:1714617764.153984	freq:293.05554	ampl:0.2941692
time:1714617764.2605019	freq:292.66928	ampl:0.3480492
time:1714617764.345655	freq:293.08102	ampl:0.30964845
time:1714617764.4310021	freq:293.4346	ampl:0.2901671
time:1714617764.537825	freq:262.17514	ampl:0.2911922
time:1714617764.623084	freq:260.64963	ampl:0.25097215
time:1714617764.729732	freq:260.798	ampl:0.2027457
time:1714617764.81547	freq:260.73593	ampl:0.17720835
time:1714617764.90033	freq:260.8157	ampl:0.14039512
time:1714617765.007313	freq:260.93417	ampl:0.132273
time:1714617765.092369	freq:260.65723	ampl:0.109842144
time:1714617765.177788	freq:260.64328	ampl:0.10270896
time:1714617765.284491	freq:261.13467	ampl:0.10448543
time:1714617765.369854	freq:264.1493	ampl:0.13995409
time:1714617765.4551191	freq:263.39682	ampl:0.06863303
time:1714617765.5618582	freq:36.741863	ampl:0.04287162
time:1714617765.647336	freq:36.776	ampl:0.03646033
