config:	0.033	0.3265833556652069
time:1714617956.661123	freq:265.26584	ampl:0.26556125
time:1714617956.76786	freq:261.27722	ampl:0.3797159
time:1714617956.8533049	freq:260.65128	ampl:0.31899673
time:1714617956.938473	freq:260.84406	ampl:0.27134928
time:1714617957.045209	freq:261.40543	ampl:0.3062293
time:1714617957.1306	freq:292.5599	ampl:0.419269
time:1714617957.21576	freq:293.01938	ampl:0.4119469
time:1714617957.3225532	freq:292.89557	ampl:0.35832286
time:1714617957.40787	freq:292.55606	ampl:0.3773618
time:1714617957.492944	freq:310.56732	ampl:0.3618758
time:1714617957.5999122	freq:310.36575	ampl:0.33684173
time:1714617957.685045	freq:310.05145	ampl:0.3213249
time:1714617957.770381	freq:348.51486	ampl:0.3522182
time:1714617957.877646	freq:348.0316	ampl:0.22202122
time:1714617957.962496	freq:347.86264	ampl:0.18372147
time:1714617958.069284	freq:389.54767	ampl:0.50986636
time:1714617958.154338	freq:390.80957	ampl:0.4287384
time:1714617958.240079	freq:391.60492	ampl:0.12170506
time:1714617958.34655	freq:391.56293	ampl:0.12148846
time:1714617958.432026	freq:438.3343	ampl:0.36625263
time:1714617958.5171719	freq:439.32153	ampl:0.46437368
time:1714617958.62392	freq:438.01074	ampl:0.38073784
time:1714617958.709207	freq:439.43726	ampl:0.33423257
time:1714617958.7945662	freq:492.96564	ampl:0.33463207
time:1714617958.901166	freq:493.06268	ampl:0.1978191
time:1714617958.9863992	freq:494.64636	ampl:0.14693935
time:1714617959.072043	freq:493.53497	ampl:0.20264226
time:1714617959.178462	freq:524.8055	ampl:0.24913423
time:1714617959.263792	freq:523.34814	ampl:0.26799098
time:1714617959.348999	freq:521.1496	ampl:0.2245112
time:1714617959.4556808	freq:587.97986	ampl:0.31220087
time:1714617959.5409908	freq:587.67206	ampl:0.37711528
time:1714617959.647819	freq:587.8762	ampl:0.42291665
time:1714617959.733048	freq:586.0922	ampl:0.60627866
time:1714617959.818558	freq:620.4753	ampl:0.46907994
time:1714617959.925396	freq:621.7254	ampl:0.35835496
time:1714617960.010514	freq:699.6301	ampl:0.412863
time:1714617960.095975	freq:697.18884	ampl:0.7127241
time:1714617960.202322	freq:697.498	ampl:0.49177247
time:1714617960.287791	freq:698.3058	ampl:0.35905063
time:1714617960.372962	freq:783.4376	ampl:0.5433076
time:1714617960.479824	freq:782.6638	ampl:0.5726546
time:1714617960.564985	freq:783.19855	ampl:0.44269028
time:1714617960.6505609	freq:877.5548	ampl:0.38233945
time:1714617960.756989	freq:879.254	ampl:0.32524726
time:1714617960.8422542	freq:880.65607	ampl:0.19894564
time:1714617960.927751	freq:879.71277	ampl:0.22012445
time:1714617961.034507	freq:986.01117	ampl:0.57261837
time:1714617961.116774	freq:987.5199	ampl:0.42835784
time:1714617961.226855	freq:987.287	ampl:0.23259224
time:1714617961.311928	freq:989.9728	ampl:0.22447038
time:1714617961.397146	freq:1046.6228	ampl:0.09974442
time:1714617961.504096	freq:1047.6072	ampl:0.056481622
time:1714617961.589209	freq:930.8219	ampl:0.33797804
time:1714617961.67458	freq:930.57245	ampl:0.5633446
time:1714617961.780891	freq:931.3957	ampl:0.46884763
time:1714617961.866401	freq:929.3681	ampl:0.3498668
time:1714617961.9517012	freq:826.834	ampl:0.36093333
time:1714617962.058371	freq:825.8787	ampl:0.24106619
time:1714617962.144228	freq:828.1013	ampl:0.14704017
time:1714617962.2291698	freq:828.5214	ampl:0.14674123
time:1714617962.3355088	freq:783.2469	ampl:0.45801294
time:1714617962.421201	freq:782.5894	ampl:0.52474225
time:1714617962.5061479	freq:783.0131	ampl:0.4242326
time:1714617962.6131449	freq:697.214	ampl:0.34621394
time:1714617962.6985722	freq:697.5146	ampl:0.5597361
time:1714617962.804848	freq:697.5751	ampl:0.3479086
time:1714617962.890795	freq:697.85657	ampl:0.27511647
time:1714617962.975634	freq:624.7441	ampl:0.44530246
time:1714617963.082148	freq:621.5281	ampl:0.36495364
time:1714617963.167735	freq:621.9913	ampl:0.31053993
time:1714617963.253106	freq:621.12396	ampl:0.27799183
time:1714617963.3595371	freq:586.6163	ampl:0.18879713
time:1714617963.444917	freq:586.3377	ampl:0.33608872
time:1714617963.5300999	freq:586.95123	ampl:0.37212822
time:1714617963.637358	freq:585.35254	ampl:0.18810406
time:1714617963.722631	freq:523.6927	ampl:0.16461252
time:1714617963.8077002	freq:522.236	ampl:0.112181105
time:1714617963.914672	freq:463.45084	ampl:0.2838181
time:1714617963.999512	freq:463.86856	ampl:0.2777851
time:1714617964.085474	freq:464.2155	ampl:0.22322755
time:1714617964.191952	freq:462.62357	ampl:0.26830164
time:1714617964.276788	freq:410.6423	ampl:0.40619507
time:1714617964.383789	freq:414.80017	ampl:0.19894652
time:1714617964.469131	freq:414.1865	ampl:0.16587134
