config:	0.033	0.3265833556652069
time:1714617917.2598019	freq:182.91281	ampl:0.05204559
time:1714617917.365771	freq:263.24008	ampl:0.3651396
time:1714617917.451375	freq:261.18448	ampl:0.46996167
time:1714617917.557959	freq:260.66202	ampl:0.38659853
time:1714617917.6437411	freq:260.76376	ampl:0.31801224
time:1714617917.728863	freq:292.81488	ampl:0.41638872
time:1714617917.8352861	freq:293.22583	ampl:0.43492973
time:1714617917.921267	freq:293.0341	ampl:0.4245368
time:1714617918.006038	freq:293.3721	ampl:0.47163647
time:1714617918.112941	freq:310.35294	ampl:0.43346712
time:1714617918.1981049	freq:309.70697	ampl:0.38011366
time:1714617918.283284	freq:348.8685	ampl:0.57161385
time:1714617918.390326	freq:349.09457	ampl:0.438315
time:1714617918.475488	freq:348.11096	ampl:0.35397428
time:1714617918.560742	freq:390.45657	ampl:0.7189836
time:1714617918.6676102	freq:390.9251	ampl:0.3441785
time:1714617918.752795	freq:409.7243	ampl:0.24495478
time:1714617918.8592858	freq:411.57	ampl:0.7610591
time:1714617918.944684	freq:414.03293	ampl:0.39804962
time:1714617919.030235	freq:414.95328	ampl:0.32018387
time:1714617919.1366649	freq:463.69855	ampl:0.41604763
time:1714617919.221971	freq:464.12906	ampl:0.30646205
time:1714617919.3075972	freq:463.45352	ampl:0.24325256
time:1714617919.414175	freq:466.1629	ampl:0.21029975
time:1714617919.499335	freq:523.6346	ampl:0.22815299
time:1714617919.584707	freq:521.89215	ampl:0.24234001
time:1714617919.691526	freq:581.4532	ampl:0.37086833
time:1714617919.776845	freq:587.5654	ampl:0.38456002
time:1714617919.861944	freq:586.4755	ampl:0.5212464
time:1714617919.968756	freq:619.9256	ampl:0.564775
time:1714617920.0538712	freq:621.2833	ampl:0.41582185
time:1714617920.139632	freq:621.99396	ampl:0.3644997
time:1714617920.24583	freq:697.2011	ampl:0.52744466
time:1714617920.331324	freq:697.68805	ampl:0.32570127
time:1714617920.438066	freq:783.42944	ampl:0.4788257
time:1714617920.523096	freq:783.21857	ampl:0.70426506
time:1714617920.60868	freq:782.7348	ampl:0.59088063
time:1714617920.715236	freq:784.56726	ampl:0.45372885
time:1714617920.800949	freq:829.1044	ampl:0.21357363
time:1714617920.886003	freq:829.1515	ampl:0.14314017
time:1714617920.992538	freq:930.89624	ampl:0.5647591
time:1714617921.0778131	freq:929.583	ampl:0.65113765
time:1714617921.163189	freq:929.656	ampl:0.44281086
time:1714617921.270101	freq:907.5	ampl:0.26395223
time:1714617921.3556628	freq:1048.3792	ampl:0.103296496
time:1714617921.4406319	freq:932.14197	ampl:0.18453142
time:1714617921.547188	freq:930.6046	ampl:0.6608592
time:1714617921.632783	freq:930.8143	ampl:0.5519625
time:1714617921.7178822	freq:929.2669	ampl:0.4325239
time:1714617921.8249269	freq:929.92004	ampl:0.32286966
time:1714617921.91004	freq:827.93805	ampl:0.13730271
time:1714617922.01691	freq:785.6663	ampl:0.23768318
time:1714617922.10254	freq:786.53766	ampl:0.6472566
time:1714617922.187325	freq:782.7939	ampl:0.5781062
time:1714617922.29386	freq:698.0472	ampl:0.5172093
time:1714617922.3792238	freq:697.3105	ampl:0.53195727
time:1714617922.464448	freq:697.7164	ampl:0.34789452
time:1714617922.571272	freq:619.7	ampl:0.5654729
time:1714617922.656493	freq:622.0691	ampl:0.47626868
time:1714617922.7421122	freq:622.02484	ampl:0.39720336
time:1714617922.84864	freq:586.45074	ampl:0.3752309
time:1714617922.9343019	freq:587.3202	ampl:0.35811678
time:1714617923.0194678	freq:586.5797	ampl:0.4770051
time:1714617923.1259909	freq:586.09406	ampl:0.28927794
time:1714617923.2112122	freq:523.2049	ampl:0.26847988
time:1714617923.296895	freq:521.76324	ampl:0.19527167
time:1714617923.403312	freq:463.2626	ampl:0.332874
time:1714617923.488656	freq:464.06885	ampl:0.27519527
time:1714617923.595732	freq:463.84915	ampl:0.2656975
time:1714617923.680443	freq:411.5431	ampl:0.5700465
time:1714617923.7660642	freq:414.49197	ampl:0.30748615
time:1714617923.872559	freq:413.5222	ampl:0.4247688
time:1714617923.95794	freq:390.49146	ampl:0.57961583
time:1714617924.0435162	freq:391.7606	ampl:0.19893429
time:1714617924.150064	freq:348.3741	ampl:0.39523458
time:1714617924.235502	freq:348.59045	ampl:0.4596048
time:1714617924.320667	freq:347.73737	ampl:0.28716806
time:1714617924.427604	freq:350.41043	ampl:0.26986584
