config:	0.0588514618575573	0.17760148644447327
time:1714865289.280416	freq:32.8877	ampl:0.07931385
time:1714865289.365889	freq:32.8877	ampl:0.07172478
time:1714865289.451016	freq:32.8877	ampl:0.06311389
time:1714865292.607522	freq:261.20404	ampl:0.25647554
time:1714865292.7141318	freq:260.88742	ampl:0.27093774
time:1714865292.799411	freq:260.61096	ampl:0.25951508
time:1714865292.884639	freq:260.79977	ampl:0.24413681
time:1714865292.991839	freq:260.72504	ampl:0.21128939
time:1714865293.077135	freq:260.752	ampl:0.21331379
time:1714865293.183639	freq:293.5603	ampl:0.2895334
time:1714865293.269171	freq:293.14542	ampl:0.29968438
time:1714865293.354409	freq:293.15878	ampl:0.2604351
time:1714865293.4607081	freq:293.24338	ampl:0.21824121
time:1714865293.546056	freq:293.1599	ampl:0.21416256
time:1714865293.6317868	freq:293.5802	ampl:0.21497506
time:1714865293.738452	freq:310.57986	ampl:0.2205297
time:1714865293.8236241	freq:310.8449	ampl:0.17925479
time:1714865293.9088612	freq:310.20093	ampl:0.16613059
time:1714865294.015798	freq:311.14658	ampl:0.15962268
time:1714865294.100727	freq:310.77524	ampl:0.3185854
time:1714865294.18641	freq:348.68997	ampl:0.24663359
time:1714865294.292944	freq:347.62875	ampl:0.15399785
time:1714865294.37817	freq:349.34857	ampl:0.095689885
time:1714865294.463444	freq:63.142254	ampl:0.11433904
time:1714865294.57023	freq:390.63998	ampl:0.45830792
time:1714865294.6554961	freq:390.14774	ampl:0.43258432
time:1714865294.762152	freq:389.86877	ampl:0.22037247
time:1714865294.84768	freq:390.60736	ampl:0.14591017
time:1714865294.933083	freq:391.63116	ampl:0.13315451
time:1714865295.039455	freq:439.0132	ampl:0.35716742
time:1714865295.1248689	freq:438.6393	ampl:0.32833815
time:1714865295.210135	freq:438.6861	ampl:0.30242285
time:1714865295.316677	freq:438.57162	ampl:0.24894282
time:1714865295.4021978	freq:438.83826	ampl:0.22976023
time:1714865295.487653	freq:494.29117	ampl:0.25333202
time:1714865295.594325	freq:493.88312	ampl:0.18406035
time:1714865295.6797361	freq:492.2896	ampl:0.09898909
time:1714865295.76489	freq:496.44485	ampl:0.06641442
time:1714865295.8716931	freq:494.0321	ampl:0.08848318
time:1714865295.956795	freq:517.87787	ampl:0.21381727
time:1714865296.042201	freq:522.5742	ampl:0.22477008
time:1714865296.148922	freq:522.8461	ampl:0.18646806
time:1714865296.234017	freq:522.64484	ampl:0.15214673
time:1714865296.340914	freq:522.45966	ampl:0.118027896
time:1714865296.426096	freq:462.9327	ampl:0.19690292
time:1714865296.511266	freq:464.3778	ampl:0.26159406
time:1714865296.618087	freq:464.3978	ampl:0.22977558
time:1714865296.703301	freq:464.45285	ampl:0.22422938
time:1714865296.788758	freq:464.34268	ampl:0.2146509
time:1714865296.895422	freq:438.2849	ampl:0.3172882
time:1714865296.980616	freq:438.52374	ampl:0.39583632
time:1714865297.066081	freq:438.77048	ampl:0.34940246
time:1714865297.172676	freq:438.42255	ampl:0.30040494
time:1714865297.2581801	freq:438.74918	ampl:0.27461815
time:1714865297.343539	freq:391.95026	ampl:0.5301251
time:1714865297.449974	freq:390.55447	ampl:0.555578
time:1714865297.53516	freq:390.1704	ampl:0.3563577
time:1714865297.642192	freq:390.76382	ampl:0.18815033
time:1714865297.7275062	freq:391.38672	ampl:0.14115496
time:1714865297.812697	freq:349.36096	ampl:0.24800827
time:1714865297.919592	freq:349.26544	ampl:0.19320388
time:1714865298.005065	freq:348.1283	ampl:0.11610956
time:1714865298.090411	freq:349.2375	ampl:0.083166935
time:1714865298.196984	freq:348.88052	ampl:0.08608698
time:1714865298.282347	freq:619.6061	ampl:0.22737995
time:1714865298.362962	freq:310.7606	ampl:0.19389224
time:1714865298.474421	freq:310.01065	ampl:0.16232523
time:1714865298.558002	freq:310.436	ampl:0.1491975
time:1714865298.644798	freq:312.9461	ampl:0.14043076
time:1714865298.75127	freq:293.4973	ampl:0.209938
time:1714865298.83679	freq:293.02325	ampl:0.23804338
time:1714865298.921937	freq:293.01575	ampl:0.1941987
time:1714865299.028658	freq:293.03253	ampl:0.1790551
time:1714865299.113988	freq:293.11603	ampl:0.16394328
time:1714865299.220684	freq:293.8579	ampl:0.14636625
time:1714865299.306232	freq:261.0402	ampl:0.13491563
time:1714865299.391191	freq:260.5727	ampl:0.12172634
time:1714865299.497983	freq:260.56573	ampl:0.118943326
time:1714865299.5832992	freq:260.72372	ampl:0.11503544
time:1714865299.668586	freq:260.77078	ampl:0.100367524
time:1714865299.7756472	freq:260.50378	ampl:0.10048784
time:1714865299.860598	freq:260.68988	ampl:0.084590174
time:1714865299.946159	freq:260.58185	ampl:0.08345672
time:1714865300.052897	freq:260.52338	ampl:0.07860711
time:1714865300.1379318	freq:260.74585	ampl:0.07164588
time:1714865300.2233648	freq:260.4359	ampl:0.07802529
time:1714865300.33008	freq:260.65182	ampl:0.06642982
time:1714865300.4156199	freq:260.5623	ampl:0.06874199
time:1714865300.500925	freq:260.55432	ampl:0.062645964
time:1714865300.607563	freq:261.0114	ampl:0.065713614
time:1714865300.6927872	freq:24.20227	ampl:0.066913135
