config:	0.0588514618575573	0.17760148644447327
time:1714865463.185493	freq:262.55606	ampl:0.12965399
time:1714865463.292095	freq:261.38565	ampl:0.18362984
time:1714865463.377557	freq:260.47095	ampl:0.19586535
time:1714865463.4626431	freq:260.73608	ampl:0.16718853
time:1714865463.569335	freq:260.5857	ampl:0.1638343
time:1714865463.654772	freq:261.19495	ampl:0.17284869
time:1714865463.740108	freq:292.72186	ampl:0.30175737
time:1714865463.8466048	freq:293.20892	ampl:0.27715972
time:1714865463.93225	freq:293.20056	ampl:0.25836626
time:1714865464.017504	freq:292.98788	ampl:0.21085314
time:1714865464.1243129	freq:293.47067	ampl:0.2295448
time:1714865464.209517	freq:310.52252	ampl:0.22909783
time:1714865464.315953	freq:310.7892	ampl:0.19381817
time:1714865464.4013162	freq:310.2288	ampl:0.16691047
time:1714865464.486845	freq:310.63202	ampl:0.15817675
time:1714865464.5935512	freq:310.09033	ampl:0.30013275
time:1714865464.678783	freq:348.8389	ampl:0.26182392
time:1714865464.763983	freq:347.6793	ampl:0.15987399
time:1714865464.870863	freq:348.8643	ampl:0.09961519
time:1714865464.956011	freq:402.75616	ampl:0.21341255
time:1714865465.0413399	freq:390.89566	ampl:0.61572677
time:1714865465.148011	freq:390.18445	ampl:0.5454603
time:1714865465.233366	freq:391.0211	ampl:0.26260448
time:1714865465.318715	freq:390.80862	ampl:0.18539801
time:1714865465.425362	freq:436.93195	ampl:0.2950931
time:1714865465.510555	freq:443.5382	ampl:0.4242479
time:1714865465.59593	freq:439.0099	ampl:0.3910572
time:1714865465.7026172	freq:438.09882	ampl:0.31785947
time:1714865465.787791	freq:438.78726	ampl:0.30316144
time:1714865465.89493	freq:438.20465	ampl:0.29793087
time:1714865465.979897	freq:493.69406	ampl:0.2395275
time:1714865466.065829	freq:490.39404	ampl:0.117262185
time:1714865466.172165	freq:492.0371	ampl:0.06968606
time:1714865466.2575321	freq:491.68097	ampl:0.11805413
time:1714865466.3427181	freq:518.66504	ampl:0.25742593
time:1714865466.449286	freq:522.2319	ampl:0.26797098
time:1714865466.534622	freq:522.53656	ampl:0.19801955
time:1714865466.6201391	freq:522.38116	ampl:0.15823942
time:1714865466.72665	freq:522.42865	ampl:0.16582967
time:1714865466.8121262	freq:464.10544	ampl:0.3542259
time:1714865466.897231	freq:464.51407	ampl:0.36729482
time:1714865467.0037332	freq:464.4357	ampl:0.33153582
time:1714865467.0892491	freq:464.4396	ampl:0.32329053
time:1714865467.174726	freq:464.11844	ampl:0.3119654
time:1714865467.281302	freq:439.19385	ampl:0.4125795
time:1714865467.36722	freq:438.3592	ampl:0.3699336
time:1714865467.473155	freq:438.80573	ampl:0.34946385
time:1714865467.55871	freq:438.9799	ampl:0.29444373
time:1714865467.6438498	freq:391.72922	ampl:0.62530786
time:1714865467.750482	freq:390.62814	ampl:0.6507957
time:1714865467.836005	freq:391.40152	ampl:0.38779432
time:1714865467.921195	freq:390.18008	ampl:0.21798448
time:1714865468.028117	freq:391.83835	ampl:0.1759341
time:1714865468.113384	freq:348.3018	ampl:0.319099
time:1714865468.198646	freq:348.70602	ampl:0.18917246
time:1714865468.305406	freq:348.16522	ampl:0.121107884
time:1714865468.39062	freq:349.58673	ampl:0.08972602
time:1714865468.476047	freq:619.52094	ampl:0.16058812
time:1714865468.5827332	freq:310.39185	ampl:0.20795898
time:1714865468.667906	freq:310.62082	ampl:0.1739572
time:1714865468.774543	freq:310.89407	ampl:0.15945831
time:1714865468.860137	freq:310.48996	ampl:0.14832075
time:1714865468.945959	freq:293.8219	ampl:0.22656773
time:1714865469.052205	freq:292.73578	ampl:0.2659637
time:1714865469.13731	freq:293.2029	ampl:0.24419065
time:1714865469.222645	freq:293.1742	ampl:0.20397088
time:1714865469.329317	freq:293.1015	ampl:0.19905664
time:1714865469.4144669	freq:292.882	ampl:0.17108008
time:1714865469.500184	freq:260.45444	ampl:0.1652681
time:1714865469.606526	freq:260.72025	ampl:0.11719639
time:1714865469.691897	freq:260.62943	ampl:0.11426193
time:1714865469.777292	freq:260.58923	ampl:0.11053824
time:1714865469.8838282	freq:260.7154	ampl:0.09758896
time:1714865469.969497	freq:260.67624	ampl:0.09976641
time:1714865470.054617	freq:260.7312	ampl:0.08266978
time:1714865470.161277	freq:260.59924	ampl:0.082162745
time:1714865470.246759	freq:260.49957	ampl:0.073643215
time:1714865470.353322	freq:260.6888	ampl:0.06792743
time:1714865470.438844	freq:260.36395	ampl:0.07310263
time:1714865470.519386	freq:32.583706	ampl:0.07196894
