config:	0.0588514618575573	0.17760148644447327
time:1714865126.5949202	freq:262.59616	ampl:0.19439597
time:1714865126.7015572	freq:259.8929	ampl:0.26824746
time:1714865126.787208	freq:260.7438	ampl:0.23195426
time:1714865126.872721	freq:260.84634	ampl:0.23291567
time:1714865126.979362	freq:261.02423	ampl:0.22008018
time:1714865127.0642362	freq:292.7998	ampl:0.36393726
time:1714865127.149416	freq:293.23932	ampl:0.33037275
time:1714865127.2562618	freq:293.18253	ampl:0.3045394
time:1714865127.341537	freq:293.20297	ampl:0.2517721
time:1714865127.4269772	freq:310.07626	ampl:0.3145582
time:1714865127.533406	freq:310.98843	ampl:0.24652421
time:1714865127.6189032	freq:310.0767	ampl:0.22639327
time:1714865127.704313	freq:310.74417	ampl:0.21844737
time:1714865127.811043	freq:348.997	ampl:0.3892098
time:1714865127.896141	freq:349.30115	ampl:0.21974446
time:1714865128.003103	freq:348.48782	ampl:0.16110493
time:1714865128.088488	freq:348.76923	ampl:0.17471014
time:1714865128.173343	freq:390.49722	ampl:0.5541276
time:1714865128.277618	freq:390.2201	ampl:0.48363298
time:1714865128.365508	freq:389.9902	ampl:0.24191253
time:1714865128.451329	freq:388.52588	ampl:0.23612046
time:1714865128.557534	freq:411.88443	ampl:0.43743193
time:1714865128.6428142	freq:413.62115	ampl:0.22511308
time:1714865128.7282882	freq:413.71442	ampl:0.18079334
time:1714865128.8349562	freq:413.24173	ampl:0.13394845
time:1714865128.9200702	freq:463.96313	ampl:0.29750332
time:1714865129.005342	freq:464.61987	ampl:0.29756448
time:1714865129.112081	freq:464.3125	ampl:0.2834942
time:1714865129.19764	freq:464.31693	ampl:0.27243733
time:1714865129.283072	freq:518.2179	ampl:0.21367459
time:1714865129.389318	freq:524.3007	ampl:0.19578125
time:1714865129.4748502	freq:522.3493	ampl:0.15578118
time:1714865129.581514	freq:522.56885	ampl:0.12801743
time:1714865129.666936	freq:522.2137	ampl:0.11315281
time:1714865129.750606	freq:523.36096	ampl:0.06724703
