config:	0.0588514618575573	0.17760148644447327
time:1714865027.1410189	freq:522.4158	ampl:0.091557145
time:1714865027.247606	freq:260.62997	ampl:0.22800313
time:1714865027.332969	freq:260.539	ampl:0.22086002
time:1714865027.4180121	freq:260.7675	ampl:0.19843672
time:1714865027.524862	freq:260.50537	ampl:0.20589966
time:1714865027.6101298	freq:293.31836	ampl:0.30326718
time:1714865027.695496	freq:293.0461	ampl:0.31814608
time:1714865027.802109	freq:293.1385	ampl:0.25462502
time:1714865027.887594	freq:293.37997	ampl:0.25448507
time:1714865027.994699	freq:330.54034	ampl:0.23057559
time:1714865028.0794659	freq:328.51166	ampl:0.22821732
time:1714865028.164758	freq:328.6178	ampl:0.223578
time:1714865028.2715921	freq:327.1052	ampl:0.32863733
time:1714865028.356998	freq:349.98495	ampl:0.2634637
time:1714865028.442142	freq:348.0552	ampl:0.13421921
time:1714865028.548932	freq:348.5091	ampl:0.116680965
time:1714865028.633987	freq:390.51382	ampl:0.56308293
time:1714865028.719534	freq:389.9941	ampl:0.6486676
time:1714865028.82603	freq:390.61392	ampl:0.32823405
time:1714865028.9113278	freq:391.0303	ampl:0.260396
time:1714865028.99669	freq:439.68436	ampl:0.5239763
time:1714865029.103578	freq:438.5731	ampl:0.5003411
time:1714865029.188558	freq:438.65347	ampl:0.46219048
time:1714865029.274152	freq:438.87265	ampl:0.39883742
time:1714865029.380847	freq:494.10776	ampl:0.33959028
time:1714865029.466038	freq:493.59128	ampl:0.2060471
time:1714865029.5728412	freq:491.39987	ampl:0.1168389
time:1714865029.657995	freq:488.45374	ampl:0.12651682
time:1714865029.743453	freq:518.741	ampl:0.17818668
time:1714865029.850182	freq:522.20135	ampl:0.17120396
time:1714865029.935432	freq:521.9424	ampl:0.12410669
time:1714865030.021154	freq:494.02335	ampl:0.23245315
time:1714865030.127572	freq:493.969	ampl:0.22408938
time:1714865030.212893	freq:492.52997	ampl:0.13074364
time:1714865030.298207	freq:436.0276	ampl:0.206452
time:1714865030.4048672	freq:438.92807	ampl:0.5232887
time:1714865030.4901428	freq:438.8836	ampl:0.5162856
time:1714865030.575305	freq:438.556	ampl:0.42370084
time:1714865030.681921	freq:392.08472	ampl:0.5179335
time:1714865030.767301	freq:390.0094	ampl:0.6194617
time:1714865030.852658	freq:390.51816	ampl:0.35317612
time:1714865030.9595752	freq:389.88358	ampl:0.23229742
time:1714865031.044632	freq:349.46683	ampl:0.42762476
time:1714865031.151329	freq:348.89636	ampl:0.2666978
time:1714865031.237146	freq:348.2769	ampl:0.20081331
time:1714865031.322105	freq:349.2542	ampl:0.1491168
time:1714865031.428749	freq:327.9434	ampl:0.19268647
time:1714865031.514018	freq:328.85452	ampl:0.19446258
time:1714865031.599411	freq:328.30566	ampl:0.18938975
time:1714865031.706121	freq:294.93558	ampl:0.23682646
time:1714865031.791292	freq:293.05112	ampl:0.4033536
time:1714865031.8765411	freq:293.22055	ampl:0.38277394
time:1714865031.983221	freq:292.9432	ampl:0.32050577
time:1714865032.068789	freq:292.96103	ampl:0.29006517
time:1714865032.1541638	freq:261.47736	ampl:0.23731102
time:1714865032.260684	freq:260.71786	ampl:0.20713733
time:1714865032.345972	freq:260.68805	ampl:0.20005856
time:1714865032.43135	freq:260.712	ampl:0.18229435
time:1714865032.537856	freq:260.68387	ampl:0.16366328
time:1714865032.623246	freq:260.7366	ampl:0.16113606
time:1714865032.7300138	freq:260.90717	ampl:0.1334109
time:1714865032.815273	freq:262.9466	ampl:0.14480819
time:1714865032.901136	freq:262.28802	ampl:0.07106537
