config:	0.0588514618575573	0.17760148644447327
time:1714865530.085631	freq:261.77518	ampl:0.23682459
time:1714865530.17073	freq:260.8574	ampl:0.24300249
time:1714865530.2561011	freq:260.66766	ampl:0.24319339
time:1714865530.362529	freq:260.81744	ampl:0.20653924
time:1714865530.448102	freq:260.6567	ampl:0.20948246
time:1714865530.554854	freq:260.61682	ampl:0.17771728
time:1714865530.640191	freq:260.62747	ampl:0.16786261
time:1714865530.725494	freq:260.46042	ampl:0.17687121
time:1714865530.8320708	freq:292.94925	ampl:0.34642017
time:1714865530.917472	freq:293.2189	ampl:0.32553995
time:1714865531.003047	freq:293.0802	ampl:0.29176775
time:1714865531.109476	freq:293.0618	ampl:0.25591138
time:1714865531.1946511	freq:293.15738	ampl:0.2312646
time:1714865531.2804132	freq:325.77994	ampl:0.24373785
time:1714865531.38698	freq:328.8157	ampl:0.22258456
time:1714865531.472029	freq:328.81488	ampl:0.21440104
time:1714865531.557286	freq:328.61978	ampl:0.20182674
time:1714865531.6642141	freq:328.64337	ampl:0.29862463
time:1714865531.749362	freq:349.34995	ampl:0.28566313
time:1714865531.834653	freq:348.37363	ampl:0.17128186
time:1714865531.941687	freq:348.6843	ampl:0.11532853
time:1714865532.0266662	freq:348.4804	ampl:0.1298847
time:1714865532.133655	freq:390.4815	ampl:0.4962902
time:1714865532.218703	freq:390.44077	ampl:0.42510733
time:1714865532.304092	freq:390.0749	ampl:0.25448015
time:1714865532.410867	freq:391.63773	ampl:0.1718414
time:1714865532.4958549	freq:411.88156	ampl:0.6032571
time:1714865532.5815659	freq:414.2187	ampl:0.41368192
time:1714865532.688201	freq:414.35596	ampl:0.27420792
time:1714865532.7735	freq:414.43604	ampl:0.18459545
time:1714865532.858671	freq:82.86755	ampl:0.261117
time:1714865532.964408	freq:493.65646	ampl:0.24045777
time:1714865533.0489511	freq:493.08087	ampl:0.16367938
time:1714865533.136411	freq:491.50906	ampl:0.10594208
time:1714865533.243278	freq:493.01926	ampl:0.13608032
time:1714865533.328189	freq:518.60626	ampl:0.18150109
time:1714865533.413416	freq:521.8279	ampl:0.17700937
time:1714865533.519954	freq:522.6327	ampl:0.14668183
time:1714865533.6055942	freq:521.42096	ampl:0.18505277
time:1714865533.712074	freq:582.49567	ampl:0.1677811
time:1714865533.797234	freq:587.64764	ampl:0.13609096
time:1714865533.882917	freq:586.2744	ampl:0.119627096
time:1714865533.989406	freq:655.05194	ampl:0.25170025
time:1714865534.074667	freq:658.2149	ampl:0.3922964
time:1714865534.160011	freq:657.2807	ampl:0.31460187
time:1714865534.266574	freq:657.37054	ampl:0.18133393
time:1714865534.3522248	freq:659.4914	ampl:0.15892431
time:1714865534.43747	freq:696.34296	ampl:0.15719986
time:1714865534.5444422	freq:697.99615	ampl:0.13769366
time:1714865534.629352	freq:698.9819	ampl:0.12217666
time:1714865534.714689	freq:696.9684	ampl:0.08672557
time:1714865534.821661	freq:777.36194	ampl:0.17474881
time:1714865534.906636	freq:784.2728	ampl:0.13961251
time:1714865535.1840749	freq:879.8445	ampl:0.2807552
time:1714865535.290935	freq:879.31256	ampl:0.24753578
time:1714865535.3758821	freq:880.4858	ampl:0.16375488
time:1714865535.461423	freq:879.85767	ampl:0.12952162
time:1714865535.568098	freq:985.5164	ampl:0.3080395
time:1714865535.653417	freq:986.4096	ampl:0.32091847
time:1714865535.738422	freq:987.1973	ampl:0.21928114
time:1714865535.84556	freq:988.015	ampl:0.11928797
time:1714865535.930807	freq:1042.251	ampl:0.14713605
time:1714865536.0162501	freq:1048.9666	ampl:0.1231684
time:1714865536.12282	freq:1046.343	ampl:0.09097603
time:1714865536.207968	freq:1045.074	ampl:0.10101857
time:1714865536.293179	freq:987.09576	ampl:0.3654839
time:1714865536.3998299	freq:987.3011	ampl:0.3144952
time:1714865536.485182	freq:986.88324	ampl:0.18169202
time:1714865536.5709782	freq:987.95514	ampl:0.1305497
time:1714865536.67724	freq:879.8949	ampl:0.3001541
time:1714865536.762574	freq:879.43567	ampl:0.2500983
time:1714865536.869602	freq:880.2393	ampl:0.16699728
time:1714865536.954589	freq:880.21747	ampl:0.18738341
time:1714865537.039866	freq:784.2901	ampl:0.22742449
time:1714865537.1466131	freq:783.87085	ampl:0.16845772
time:1714865537.232326	freq:784.0342	ampl:0.09140913
time:1714865537.3175101	freq:696.9456	ampl:0.13562891
time:1714865537.423973	freq:697.34485	ampl:0.13948186
time:1714865537.509382	freq:697.6012	ampl:0.11128282
time:1714865537.594582	freq:697.4713	ampl:0.109703586
time:1714865537.701118	freq:657.8225	ampl:0.32603872
time:1714865537.786553	freq:659.04193	ampl:0.3509163
