config:	0.0588514618575573	0.17760148644447327
time:1714865574.0952501	freq:261.27847	ampl:0.25061485
time:1714865574.180613	freq:260.90616	ampl:0.27163234
time:1714865574.28726	freq:260.63818	ampl:0.2577592
time:1714865574.372616	freq:260.4698	ampl:0.25399533
time:1714865574.4793139	freq:293.06177	ampl:0.38196886
time:1714865574.564412	freq:293.2146	ampl:0.35508102
time:1714865574.649812	freq:293.14478	ampl:0.32377192
time:1714865574.756593	freq:293.85388	ampl:0.27502295
time:1714865574.842128	freq:327.66797	ampl:0.20064828
time:1714865574.9273791	freq:328.83246	ampl:0.19490428
time:1714865575.033823	freq:328.82602	ampl:0.18701608
time:1714865575.119066	freq:349.149	ampl:0.3734642
time:1714865575.204548	freq:348.248	ampl:0.22351183
time:1714865575.311167	freq:347.6887	ampl:0.13948283
time:1714865575.396657	freq:392.62024	ampl:0.3486048
time:1714865575.481883	freq:389.8501	ampl:0.62275034
time:1714865575.588342	freq:390.2577	ampl:0.34588444
time:1714865575.674109	freq:391.02634	ampl:0.22717433
time:1714865575.780459	freq:438.79004	ampl:0.38305914
time:1714865575.8660722	freq:438.3222	ampl:0.39752167
time:1714865575.9512239	freq:438.70703	ampl:0.3829848
time:1714865576.0577378	freq:438.9061	ampl:0.31244147
time:1714865576.14346	freq:494.04913	ampl:0.29698297
time:1714865576.228641	freq:492.88034	ampl:0.19941556
time:1714865576.33524	freq:491.2853	ampl:0.12915444
time:1714865576.420553	freq:519.1875	ampl:0.18863419
time:1714865576.505784	freq:522.42755	ampl:0.19015102
time:1714865576.61264	freq:523.77985	ampl:0.143235
time:1714865576.6976929	freq:522.19196	ampl:0.25797418
time:1714865576.783341	freq:585.97034	ampl:0.17785612
time:1714865576.889837	freq:586.7405	ampl:0.14432755
time:1714865576.9753199	freq:587.62384	ampl:0.22132532
time:1714865577.0608811	freq:657.7283	ampl:0.31677276
time:1714865577.167614	freq:657.2945	ampl:0.2408833
time:1714865577.253065	freq:659.88965	ampl:0.1641871
time:1714865577.359467	freq:350.377	ampl:0.16158523
time:1714865577.4445229	freq:697.8994	ampl:0.12634957
time:1714865577.529856	freq:697.52997	ampl:0.115803696
time:1714865577.636359	freq:783.0716	ampl:0.2524759
time:1714865577.721885	freq:783.8589	ampl:0.18808143
time:1714865577.807324	freq:784.78186	ampl:0.082727164
time:1714865577.913975	freq:878.0493	ampl:0.12704489
time:1714865577.999656	freq:879.86005	ampl:0.35215852
time:1714865578.084811	freq:879.27484	ampl:0.24934681
time:1714865578.19118	freq:880.2513	ampl:0.17368528
time:1714865578.2767348	freq:985.3914	ampl:0.31607625
time:1714865578.362042	freq:986.4319	ampl:0.38019145
time:1714865578.468539	freq:987.1489	ampl:0.27252996
time:1714865578.554071	freq:988.5656	ampl:0.18009186
time:1714865578.6393661	freq:1044.4481	ampl:0.23456718
time:1714865578.745924	freq:1045.7043	ampl:0.16200161
time:1714865578.831321	freq:1045.2809	ampl:0.13593793
time:1714865578.937762	freq:985.51575	ampl:0.3704675
time:1714865579.023291	freq:987.13477	ampl:0.3768375
time:1714865579.108592	freq:987.41833	ampl:0.22166131
time:1714865579.215296	freq:987.49066	ampl:0.17273258
time:1714865579.300663	freq:879.4294	ampl:0.34327817
time:1714865579.385717	freq:879.66046	ampl:0.25923964
time:1714865579.4925508	freq:880.5847	ampl:0.16429083
time:1714865579.578021	freq:783.325	ampl:0.24223658
time:1714865579.6631842	freq:879.6997	ampl:0.19340406
time:1714865579.769929	freq:878.9319	ampl:0.13042843
time:1714865579.855431	freq:879.44745	ampl:0.110364385
time:1714865579.940661	freq:696.2066	ampl:0.16708913
time:1714865580.047652	freq:698.3209	ampl:0.1300017
time:1714865580.132834	freq:697.81067	ampl:0.11924659
time:1714865580.217788	freq:652.3294	ampl:0.14257988
time:1714865580.3246388	freq:657.31726	ampl:0.43208608
time:1714865580.409803	freq:657.79956	ampl:0.36994043
time:1714865580.516516	freq:657.25476	ampl:0.24174345
time:1714865580.601747	freq:658.2527	ampl:0.117486835
time:1714865580.687001	freq:581.63446	ampl:0.18311135
time:1714865580.794061	freq:586.39484	ampl:0.14265029
time:1714865580.879229	freq:586.72675	ampl:0.122908056
time:1714865580.964587	freq:586.2042	ampl:0.09340389
time:1714865581.071432	freq:585.76874	ampl:0.08440307
time:1714865581.156507	freq:518.38696	ampl:0.16544035
time:1714865581.241943	freq:522.96936	ampl:0.18613946
time:1714865581.3484921	freq:522.0118	ampl:0.14225951
time:1714865581.433734	freq:522.8036	ampl:0.119839855
time:1714865581.519413	freq:522.5913	ampl:0.15670438
time:1714865581.625595	freq:488.29532	ampl:0.23970787
time:1714865581.7111712	freq:491.96063	ampl:0.16229673
time:1714865581.7967072	freq:496.12344	ampl:0.09465248
time:1714865581.9030418	freq:411.8606	ampl:0.1252895
time:1714865581.988586	freq:410.40347	ampl:0.4479371
time:1714865582.095707	freq:413.6797	ampl:0.23585886
time:1714865582.180228	freq:414.56897	ampl:0.20181096
time:1714865582.265693	freq:413.61926	ampl:0.13901572
time:1714865582.3722482	freq:390.56213	ampl:0.46226478
time:1714865582.457594	freq:391.50204	ampl:0.5608725
time:1714865582.542953	freq:390.32803	ampl:0.28682622
time:1714865582.649658	freq:390.07434	ampl:0.1958208
time:1714865582.735054	freq:348.0067	ampl:0.2543342
time:1714865582.820302	freq:348.77142	ampl:0.20510507
