config:	0.0588514618575573	0.17760148644447327
time:1714865676.557148	freq:260.47708	ampl:0.17433074
time:1714865676.642385	freq:260.77853	ampl:0.20549746
time:1714865676.749309	freq:260.79724	ampl:0.1841831
time:1714865676.834581	freq:260.88025	ampl:0.18748254
time:1714865676.919962	freq:260.72012	ampl:0.15553412
time:1714865677.0265799	freq:261.07257	ampl:0.2234349
time:1714865677.112142	freq:292.80307	ampl:0.33775693
time:1714865677.196965	freq:293.24466	ampl:0.2846047
time:1714865677.304008	freq:293.05023	ampl:0.27097866
time:1714865677.389011	freq:293.1137	ampl:0.22694257
time:1714865677.474541	freq:293.97025	ampl:0.30736867
time:1714865677.581234	freq:310.2755	ampl:0.27996027
time:1714865677.6664572	freq:310.47232	ampl:0.23351915
time:1714865677.751789	freq:310.12305	ampl:0.21146391
time:1714865677.8585029	freq:310.6992	ampl:0.23305483
time:1714865677.943811	freq:348.3099	ampl:0.43126822
time:1714865678.050786	freq:349.3233	ampl:0.25659585
time:1714865678.1359138	freq:348.8328	ampl:0.16271381
time:1714865678.221292	freq:349.25436	ampl:0.13802472
time:1714865678.3279428	freq:391.83368	ampl:0.53928995
time:1714865678.413196	freq:390.6165	ampl:0.5831599
time:1714865678.498585	freq:390.60394	ampl:0.3531541
time:1714865678.6051788	freq:390.32376	ampl:0.19442415
time:1714865678.690774	freq:390.94925	ampl:0.17960641
time:1714865678.77565	freq:411.81787	ampl:0.37249088
time:1714865678.88265	freq:413.29196	ampl:0.19178985
time:1714865678.9679399	freq:413.50964	ampl:0.15411572
time:1714865679.05352	freq:413.84213	ampl:0.09580444
time:1714865679.160063	freq:492.81885	ampl:0.21118678
time:1714865679.240092	freq:493.9337	ampl:0.18474777
time:1714865679.330615	freq:492.13623	ampl:0.11373014
time:1714865679.437366	freq:491.9696	ampl:0.07976272
time:1714865679.522644	freq:521.4181	ampl:0.1317534
time:1714865679.62914	freq:519.7468	ampl:0.17255485
time:1714865679.714295	freq:521.6909	ampl:0.16197443
time:1714865679.79957	freq:522.8929	ampl:0.13014509
time:1714865679.9066072	freq:522.1659	ampl:0.11510012
time:1714865679.9909549	freq:581.04584	ampl:0.17843555
time:1714865680.07743	freq:585.54376	ampl:0.13391939
time:1714865680.183732	freq:585.9784	ampl:0.10831675
time:1714865680.269136	freq:585.3758	ampl:0.09976588
time:1714865680.354377	freq:621.22046	ampl:0.28015658
time:1714865680.4613261	freq:622.8897	ampl:0.17760509
time:1714865680.546607	freq:624.0132	ampl:0.1252654
time:1714865680.631911	freq:622.824	ampl:0.07907407
time:1714865680.738603	freq:627.54846	ampl:0.14346996
time:1714865680.8241282	freq:697.3048	ampl:0.17464262
time:1714865680.9091492	freq:698.0117	ampl:0.13929453
time:1714865681.015717	freq:697.5825	ampl:0.13032961
time:1714865681.1012502	freq:695.337	ampl:0.17642714
time:1714865681.207645	freq:784.0848	ampl:0.25534755
time:1714865681.293236	freq:787.6679	ampl:0.15845557
time:1714865681.4850268	freq:877.6943	ampl:0.087400824
time:1714865681.57058	freq:878.5354	ampl:0.34278947
time:1714865681.655561	freq:879.3261	ampl:0.29349762
time:1714865681.762326	freq:880.13	ampl:0.18224281
time:1714865681.8476849	freq:879.47784	ampl:0.15111585
time:1714865681.932895	freq:985.81464	ampl:0.42552388
time:1714865682.039734	freq:987.1948	ampl:0.4792187
time:1714865682.1248698	freq:986.5618	ampl:0.30071566
time:1714865682.210195	freq:987.64935	ampl:0.18455379
time:1714865682.3171291	freq:1045.9108	ampl:0.20921786
time:1714865682.402302	freq:1044.994	ampl:0.232904
time:1714865682.487797	freq:1045.7594	ampl:0.16803049
time:1714865682.594573	freq:1045.0378	ampl:0.144024
time:1714865682.679712	freq:1044.4753	ampl:0.17566557
time:1714865682.786327	freq:928.77313	ampl:0.369331
time:1714865682.871516	freq:929.34076	ampl:0.2946942
time:1714865682.956832	freq:930.7614	ampl:0.15313365
time:1714865683.063945	freq:828.9914	ampl:0.20036614
time:1714865683.148912	freq:827.6927	ampl:0.39057696
time:1714865683.234336	freq:828.4637	ampl:0.28959215
time:1714865683.3411012	freq:828.07275	ampl:0.21124448
time:1714865683.426265	freq:827.8879	ampl:0.18085197
time:1714865683.511811	freq:783.4934	ampl:0.21138184
time:1714865683.618195	freq:784.8563	ampl:0.14816554
time:1714865683.789106	freq:697.2151	ampl:0.11376821
time:1714865683.895576	freq:695.1843	ampl:0.1292551
time:1714865683.981269	freq:698.0354	ampl:0.10530415
time:1714865684.06704	freq:697.1932	ampl:0.083893955
time:1714865684.173687	freq:694.89105	ampl:0.09714202
time:1714865684.2587109	freq:620.7885	ampl:0.23101833
time:1714865684.36515	freq:620.6348	ampl:0.1272723
time:1714865684.450377	freq:624.0654	ampl:0.09484415
