config:	0.0588514618575573	0.17760148644447327
time:1714865726.817678	freq:15.26581	ampl:0.14150877
time:1714865726.90289	freq:260.94678	ampl:0.24660002
time:1714865727.009303	freq:260.6087	ampl:0.2257943
time:1714865727.094784	freq:260.68256	ampl:0.22548136
time:1714865727.180002	freq:260.60455	ampl:0.2033939
time:1714865727.2869968	freq:260.8625	ampl:0.18637031
time:1714865727.372308	freq:293.32397	ampl:0.27013785
time:1714865727.457499	freq:292.92264	ampl:0.28067777
time:1714865727.564112	freq:293.1148	ampl:0.23228334
time:1714865727.649588	freq:293.26035	ampl:0.22504961
time:1714865727.756126	freq:293.7484	ampl:0.24402426
time:1714865727.8413901	freq:310.47086	ampl:0.2537215
time:1714865727.926758	freq:310.70462	ampl:0.21249133
time:1714865728.0337281	freq:310.07645	ampl:0.19495891
time:1714865728.118778	freq:310.28677	ampl:0.18269077
time:1714865728.204226	freq:311.9655	ampl:0.31168467
time:1714865728.3108358	freq:349.25436	ampl:0.2429583
time:1714865728.396113	freq:347.8684	ampl:0.15260647
time:1714865728.4816198	freq:348.4013	ampl:0.11487903
time:1714865728.588238	freq:390.67838	ampl:0.3495062
time:1714865728.673404	freq:390.28403	ampl:0.56282526
time:1714865728.75874	freq:390.30853	ampl:0.40417677
time:1714865728.8657799	freq:391.0637	ampl:0.2037832
time:1714865728.95124	freq:391.3196	ampl:0.1816502
time:1714865729.036382	freq:438.79437	ampl:0.34293824
time:1714865729.142992	freq:438.79312	ampl:0.32078573
time:1714865729.2282948	freq:438.47208	ampl:0.27479574
time:1714865729.334745	freq:439.77792	ampl:0.24011818
time:1714865729.420505	freq:493.05386	ampl:0.25472593
time:1714865729.5057712	freq:493.70413	ampl:0.19198553
time:1714865729.612391	freq:492.53207	ampl:0.10799925
time:1714865729.698038	freq:491.81406	ampl:0.10710152
time:1714865729.783284	freq:517.8717	ampl:0.20123108
time:1714865729.889698	freq:522.4381	ampl:0.18835074
time:1714865729.974863	freq:522.91016	ampl:0.15331614
time:1714865730.060219	freq:523.1738	ampl:0.15262847
time:1714865730.167048	freq:581.7688	ampl:0.1909774
time:1714865730.25215	freq:586.46704	ampl:0.12871796
time:1714865730.337473	freq:586.45624	ampl:0.09871047
time:1714865730.444324	freq:588.7184	ampl:0.17257152
time:1714865730.529323	freq:620.1862	ampl:0.2064442
time:1714865730.614715	freq:623.91	ampl:0.12935211
time:1714865730.721681	freq:622.26373	ampl:0.080397956
time:1714865730.806902	freq:139.10783	ampl:0.11186731
time:1714865730.913554	freq:698.5154	ampl:0.17441759
time:1714865730.998643	freq:697.948	ampl:0.12752855
time:1714865731.084089	freq:697.5252	ampl:0.11315788
time:1714865731.1910791	freq:778.5703	ampl:0.1640944
time:1714865731.276201	freq:783.3938	ampl:0.2167252
time:1714865731.361627	freq:784.5459	ampl:0.1404547
time:1714865731.5536308	freq:886.7178	ampl:0.11669993
time:1714865731.638871	freq:878.543	ampl:0.35770085
time:1714865731.745264	freq:879.81946	ampl:0.29728806
time:1714865731.830688	freq:879.98175	ampl:0.16332996
time:1714865731.91609	freq:880.1035	ampl:0.15997823
time:1714865732.022777	freq:985.94727	ampl:0.26101336
time:1714865732.108443	freq:987.74	ampl:0.20519823
time:1714865732.193565	freq:987.15173	ampl:0.104217514
time:1714865732.300438	freq:985.2658	ampl:0.107454225
time:1714865732.38535	freq:1044.2596	ampl:0.19383486
time:1714865732.4921222	freq:1045.7773	ampl:0.1399161
time:1714865732.57738	freq:1045.2638	ampl:0.10887486
time:1714865732.662849	freq:1044.5635	ampl:0.11654064
time:1714865732.76952	freq:928.91144	ampl:0.28510112
time:1714865732.85469	freq:929.13855	ampl:0.23560604
time:1714865732.940223	freq:929.91254	ampl:0.1483859
time:1714865733.047361	freq:929.83325	ampl:0.12139075
time:1714865733.132241	freq:826.1505	ampl:0.3489237
time:1714865733.217252	freq:828.7246	ampl:0.31780672
time:1714865733.323925	freq:828.1148	ampl:0.21620803
time:1714865733.409431	freq:827.8519	ampl:0.16225196
time:1714865733.494573	freq:783.2777	ampl:0.2533683
time:1714865733.6013799	freq:784.745	ampl:0.1836379
time:1714865733.8786979	freq:695.396	ampl:0.15400328
time:1714865733.964041	freq:697.25946	ampl:0.13065822
time:1714865734.070962	freq:697.75226	ampl:0.10761196
time:1714865734.156108	freq:697.0269	ampl:0.085259214
time:1714865734.241317	freq:621.43494	ampl:0.31248152
time:1714865734.347769	freq:621.56165	ampl:0.1967126
time:1714865734.4332662	freq:623.2856	ampl:0.1402572
time:1714865734.518842	freq:622.88544	ampl:0.08783442
time:1714865734.625521	freq:623.9674	ampl:0.093284264
time:1714865734.710836	freq:581.2877	ampl:0.18987447
time:1714865734.796123	freq:585.63446	ampl:0.13134171
time:1714865734.902722	freq:588.26886	ampl:0.083051
time:1714865734.988134	freq:588.5184	ampl:0.08167956
time:1714865735.073374	freq:584.6524	ampl:0.15230343
time:1714865735.180095	freq:520.92804	ampl:0.15222867
time:1714865735.265156	freq:521.8168	ampl:0.15663874
time:1714865735.372167	freq:522.9705	ampl:0.13318926
time:1714865735.457837	freq:522.06573	ampl:0.22604534
time:1714865735.5426931	freq:464.63504	ampl:0.38570952
time:1714865735.6495528	freq:464.47418	ampl:0.4023713
time:1714865735.734652	freq:464.40112	ampl:0.35936806
time:1714865735.8199492	freq:464.65353	ampl:0.335755
time:1714865735.92679	freq:438.83432	ampl:0.4529106
time:1714865736.011845	freq:438.76517	ampl:0.43009174
time:1714865736.097269	freq:438.37424	ampl:0.38203898
time:1714865736.2039251	freq:438.72632	ampl:0.34441712
time:1714865736.289149	freq:391.06836	ampl:0.43324825
