config:	0.0588514618575573	0.17760148644447327
time:1714865629.2835689	freq:523.4275	ampl:0.0688374
time:1714865629.39003	freq:261.8124	ampl:0.24175724
time:1714865629.475593	freq:260.7818	ampl:0.26011163
time:1714865629.560672	freq:260.68417	ampl:0.224583
time:1714865629.667583	freq:260.89606	ampl:0.2486963
time:1714865629.752789	freq:292.85547	ampl:0.385821
time:1714865629.837902	freq:293.1673	ampl:0.36257577
time:1714865629.944961	freq:293.11835	ampl:0.31054893
time:1714865630.0301871	freq:293.60144	ampl:0.37937516
time:1714865630.1368852	freq:310.6411	ampl:0.28928122
time:1714865630.222039	freq:310.98584	ampl:0.2588778
time:1714865630.307475	freq:310.08646	ampl:0.23246479
time:1714865630.414207	freq:312.9629	ampl:0.22488086
time:1714865630.4996948	freq:349.21628	ampl:0.12307551
time:1714865630.5855532	freq:348.1041	ampl:0.09597305
time:1714865630.691688	freq:390.55698	ampl:0.48628208
time:1714865630.776744	freq:390.46823	ampl:0.57189256
time:1714865630.861987	freq:391.11566	ampl:0.34587502
time:1714865630.968792	freq:390.17136	ampl:0.20132037
time:1714865631.0540729	freq:438.81293	ampl:0.35985827
time:1714865631.139546	freq:438.05734	ampl:0.36024982
time:1714865631.246172	freq:438.9126	ampl:0.34236336
time:1714865631.331619	freq:439.2117	ampl:0.2905665
time:1714865631.417025	freq:493.61496	ampl:0.2203566
time:1714865631.523679	freq:493.03186	ampl:0.13792437
time:1714865631.608976	freq:491.82248	ampl:0.08799821
time:1714865631.715481	freq:519.49023	ampl:0.14646064
time:1714865631.800673	freq:522.4696	ampl:0.14334123
time:1714865631.886256	freq:522.95734	ampl:0.11040637
time:1714865631.992916	freq:581.2676	ampl:0.21952723
time:1714865632.077982	freq:586.859	ampl:0.18328257
time:1714865632.1633291	freq:586.6422	ampl:0.15672296
time:1714865632.270187	freq:585.3109	ampl:0.19837904
time:1714865632.355191	freq:613.9704	ampl:0.297872
time:1714865632.440687	freq:622.0674	ampl:0.17289181
time:1714865632.547482	freq:624.2228	ampl:0.13009936
time:1714865632.632845	freq:621.47394	ampl:0.15054445
time:1714865632.7180371	freq:699.86255	ampl:0.1225971
time:1714865632.824901	freq:697.9945	ampl:0.08272047
time:1714865632.9107041	freq:781.0536	ampl:0.20520796
time:1714865632.995899	freq:780.1531	ampl:0.2330798
time:1714865633.100626	freq:784.45624	ampl:0.17112502
time:1714865633.187876	freq:95.90295	ampl:0.10195357
time:1714865633.294312	freq:879.8628	ampl:0.38977808
time:1714865633.379675	freq:879.4043	ampl:0.3234274
time:1714865633.4648762	freq:880.33514	ampl:0.2095813
time:1714865633.5715451	freq:985.0346	ampl:0.27389714
time:1714865633.656645	freq:986.15845	ampl:0.5135434
time:1714865633.741916	freq:987.34827	ampl:0.3699313
time:1714865633.848835	freq:987.254	ampl:0.19499196
time:1714865633.934387	freq:1043.073	ampl:0.24862072
time:1714865634.0195708	freq:1045.7	ampl:0.188479
time:1714865634.126154	freq:1045.2252	ampl:0.14890346
time:1714865634.211431	freq:924.1248	ampl:0.29139742
time:1714865634.2965012	freq:931.5892	ampl:0.43232033
time:1714865634.403337	freq:923.4728	ampl:0.3034353
time:1714865634.4887118	freq:930.30945	ampl:0.17468297
