config:	0.12886831164360046	0.30120810866355896
time:1715232381.7131062	freq:52.768158	ampl:0.22036588
time:1715232381.798308	freq:103.292206	ampl:0.37018973
time:1715232381.9052281	freq:103.34621	ampl:0.367844
time:1715232381.990346	freq:103.48708	ampl:0.3563201
time:1715232382.0755072	freq:115.92053	ampl:0.38366494
time:1715232382.182416	freq:116.61911	ampl:0.37344354
time:1715232382.267456	freq:130.6193	ampl:0.47378105
time:1715232382.352861	freq:131.60835	ampl:0.4088407
time:1715232382.4594688	freq:130.81747	ampl:0.4613144
time:1715232382.544911	freq:138.13802	ampl:0.39961308
time:1715232382.630127	freq:138.60844	ampl:0.26982507
time:1715232382.737152	freq:154.60966	ampl:0.27193862
time:1715232382.82218	freq:43.20243	ampl:0.28466022
time:1715232382.905828	freq:173.88358	ampl:0.5107287
time:1715232383.01401	freq:174.29352	ampl:0.36620244
time:1715232383.099416	freq:174.96623	ampl:0.44677556
time:1715232383.206236	freq:195.54228	ampl:0.50376004
time:1715232383.291366	freq:194.76668	ampl:0.54405737
time:1715232383.376915	freq:195.29094	ampl:0.53953826
time:1715232383.483477	freq:206.76566	ampl:0.389558
time:1715232383.568949	freq:231.98547	ampl:0.6191282
time:1715232383.654642	freq:232.3857	ampl:0.75339365
time:1715232383.760888	freq:235.6018	ampl:0.55327404
time:1715232383.846259	freq:260.98163	ampl:0.5245681
time:1715232383.93182	freq:260.9675	ampl:0.37574378
time:1715232384.038381	freq:260.23715	ampl:0.4918757
time:1715232384.123528	freq:276.3873	ampl:0.45783636
time:1715232384.209144	freq:276.48877	ampl:0.43728942
time:1715232384.315448	freq:309.76456	ampl:0.41577217
time:1715232384.400807	freq:310.23895	ampl:0.39918298
time:1715232384.486023	freq:347.83795	ampl:0.5055189
time:1715232384.592902	freq:348.31085	ampl:0.31536132
time:1715232384.678139	freq:77.85381	ampl:0.5984171
time:1715232384.785007	freq:390.19775	ampl:0.718524
time:1715232384.870111	freq:390.12112	ampl:0.5938047
time:1715232384.955885	freq:413.31284	ampl:0.5358793
time:1715232385.062341	freq:414.66888	ampl:0.15600136
time:1715232385.147409	freq:464.10663	ampl:0.35493508
time:1715232385.232743	freq:463.9102	ampl:0.40365842
time:1715232385.33959	freq:463.63757	ampl:0.3111141
time:1715232385.424916	freq:519.4437	ampl:0.20685315
time:1715232385.5101252	freq:521.3744	ampl:0.16092828
time:1715232385.6169	freq:552.5685	ampl:0.19654074
time:1715232385.702248	freq:552.7474	ampl:0.19974285
time:1715232385.787341	freq:621.36273	ampl:0.5474393
time:1715232385.894072	freq:620.462	ampl:0.38919923
time:1715232385.9798322	freq:703.9311	ampl:0.3012775
time:1715232386.064794	freq:697.6823	ampl:0.6057059
time:1715232386.171416	freq:697.20337	ampl:0.5854865
time:1715232386.2570028	freq:697.85504	ampl:0.55829054
time:1715232386.363401	freq:783.1647	ampl:0.48896158
time:1715232386.448999	freq:783.1013	ampl:0.36197087
time:1715232386.534678	freq:781.94714	ampl:0.33035824
time:1715232386.6410708	freq:828.07025	ampl:0.21801282
time:1715232386.7261891	freq:782.83765	ampl:0.36690947
time:1715232386.811439	freq:782.76263	ampl:0.46433818
time:1715232386.918085	freq:783.305	ampl:0.459711
time:1715232387.00356	freq:697.9616	ampl:0.6700264
time:1715232387.0886579	freq:697.12665	ampl:0.53682345
time:1715232387.195543	freq:621.7855	ampl:0.61357963
time:1715232387.280683	freq:620.921	ampl:0.47799113
time:1715232387.366116	freq:620.4806	ampl:0.30362698
time:1715232387.47283	freq:621.93	ampl:0.31794408
time:1715232387.558145	freq:552.7998	ampl:0.30822924
time:1715232387.643626	freq:555.5219	ampl:0.27058336
time:1715232387.7501369	freq:519.6969	ampl:0.33180356
time:1715232387.835557	freq:519.48096	ampl:0.27588964
time:1715232387.941986	freq:463.58325	ampl:0.34576386
time:1715232388.027533	freq:463.96103	ampl:0.35574064
time:1715232388.1127439	freq:412.07318	ampl:0.52923876
time:1715232388.2194772	freq:413.39758	ampl:0.29235035
time:1715232388.3047972	freq:413.41934	ampl:0.26918733
time:1715232388.389954	freq:389.604	ampl:0.57389885
time:1715232388.496745	freq:390.5308	ampl:0.47064495
time:1715232388.5819979	freq:57.67477	ampl:0.3746434
time:1715232388.6676779	freq:348.18878	ampl:0.33457416
time:1715232388.774242	freq:348.5373	ampl:0.25939998
time:1715232388.8594198	freq:309.5836	ampl:0.45360374
time:1715232388.944757	freq:309.72302	ampl:0.437909
time:1715232389.051646	freq:309.9251	ampl:0.41087505
time:1715232389.136798	freq:309.71317	ampl:0.373773
time:1715232389.2432709	freq:309.96936	ampl:0.4900765
time:1715232389.3288279	freq:276.2652	ampl:0.47960314
time:1715232389.413939	freq:277.83615	ampl:0.45779938
time:1715232389.520904	freq:260.86044	ampl:0.5382749
time:1715232389.606236	freq:260.3494	ampl:0.3988115
time:1715232389.69132	freq:261.91498	ampl:0.48375407
time:1715232389.798028	freq:232.43347	ampl:0.81136036
time:1715232389.883306	freq:232.63786	ampl:0.67297137
time:1715232389.968612	freq:205.7467	ampl:0.41159895
time:1715232390.075862	freq:206.8862	ampl:0.32380292
time:1715232390.1608682	freq:206.86581	ampl:0.47260937
time:1715232390.246074	freq:194.83893	ampl:0.48355013
time:1715232390.3528352	freq:195.35326	ampl:0.5249262
time:1715232390.438064	freq:174.17522	ampl:0.42650092
time:1715232390.523254	freq:173.70018	ampl:0.32611376
time:1715232390.630187	freq:154.62332	ampl:0.36227846
time:1715232390.7154121	freq:154.6739	ampl:0.31879926
time:1715232390.822051	freq:34.362488	ampl:0.43383393
time:1715232390.907699	freq:138.46613	ampl:0.5525596
time:1715232390.992842	freq:138.07529	ampl:0.3422386
time:1715232391.0942721	freq:131.08974	ampl:0.42572427
time:1715232391.1824188	freq:130.65918	ampl:0.3645759
time:1715232391.270156	freq:130.46545	ampl:0.31169754
time:1715232391.376707	freq:263.5294	ampl:0.35262716
time:1715232391.461967	freq:116.36996	ampl:0.32771462
time:1715232391.547388	freq:116.38509	ampl:0.28255373
time:1715232391.654066	freq:116.738945	ampl:0.28486007
time:1715232391.739664	freq:102.57092	ampl:0.36037356
time:1715232391.824868	freq:103.3822	ampl:0.3414663
time:1715232391.931381	freq:103.34565	ampl:0.31347176
time:1715232392.016594	freq:103.4288	ampl:0.26885486
time:1715232392.102291	freq:102.767105	ampl:0.2567654
time:1715232392.208754	freq:103.4556	ampl:0.22208208
time:1715232392.2942538	freq:103.53568	ampl:0.21322311
time:1715232392.4006581	freq:103.448044	ampl:0.18425414
time:1715232392.486	freq:102.9915	ampl:0.17268616
time:1715232392.571373	freq:103.580055	ampl:0.13350327
