config:	0.12886831164360046	0.30120810866355896
time:1715233479.9529471	freq:262.19437	ampl:0.48505306
time:1715233480.037946	freq:260.63593	ampl:0.39848828
time:1715233480.145113	freq:260.62228	ampl:0.32227975
time:1715233480.229992	freq:260.7699	ampl:0.2652666
time:1715233480.336663	freq:262.0588	ampl:0.35852465
time:1715233480.422103	freq:292.93652	ampl:0.4269458
time:1715233480.507282	freq:292.8249	ampl:0.37466216
time:1715233480.613972	freq:292.61447	ampl:0.3811531
time:1715233480.6993752	freq:309.2265	ampl:0.48062116
time:1715233480.784669	freq:309.98517	ampl:0.4423156
time:1715233480.891808	freq:309.6692	ampl:0.40947753
time:1715233480.9769979	freq:310.29187	ampl:0.419234
time:1715233481.062315	freq:348.5628	ampl:0.32461852
time:1715233481.168847	freq:348.05627	ampl:0.20556967
time:1715233481.254209	freq:348.79654	ampl:0.19205502
time:1715233481.339364	freq:389.85876	ampl:0.62155956
time:1715233481.445895	freq:391.09973	ampl:0.5818363
time:1715233481.53127	freq:390.23648	ampl:0.40963474
time:1715233481.638022	freq:390.0674	ampl:0.29170576
time:1715233481.723392	freq:390.86606	ampl:0.38522094
time:1715233481.808656	freq:391.08798	ampl:0.30594245
time:1715233481.915437	freq:391.23636	ampl:0.22641374
time:1715233482.000725	freq:464.70605	ampl:0.38784745
time:1715233482.086128	freq:464.16852	ampl:0.5436021
time:1715233482.192937	freq:464.16473	ampl:0.5123535
time:1715233482.2781081	freq:464.1917	ampl:0.47817045
time:1715233482.363514	freq:463.8078	ampl:0.3255834
