config:	0.12886831164360046	0.30120810866355896
time:1715233545.594829	freq:262.65793	ampl:0.36461368
time:1715233545.6804628	freq:260.63174	ampl:0.40577748
time:1715233545.7873302	freq:260.55066	ampl:0.30085278
time:1715233545.872178	freq:260.62265	ampl:0.24072658
time:1715233545.957742	freq:260.11957	ampl:0.23264006
time:1715233546.064258	freq:293.31628	ampl:0.41351047
time:1715233546.149479	freq:292.75363	ampl:0.42567527
time:1715233546.235303	freq:292.84863	ampl:0.3867721
time:1715233546.341504	freq:292.88477	ampl:0.34230474
time:1715233546.4269729	freq:292.74277	ampl:0.49907833
time:1715233546.512247	freq:309.81946	ampl:0.45836025
time:1715233546.618911	freq:310.05954	ampl:0.4245767
time:1715233546.7045732	freq:309.63885	ampl:0.37119684
time:1715233546.810844	freq:311.43423	ampl:0.3728562
time:1715233546.896158	freq:348.50095	ampl:0.21868467
time:1715233546.981663	freq:348.33572	ampl:0.16738042
time:1715233547.088269	freq:97.858574	ampl:0.34790522
time:1715233547.173341	freq:389.6405	ampl:0.562985
time:1715233547.258792	freq:390.00467	ampl:0.48744997
time:1715233547.365498	freq:390.40173	ampl:0.30058494
time:1715233547.451334	freq:409.69656	ampl:0.48152757
time:1715233547.536148	freq:412.62555	ampl:0.5600823
time:1715233547.642885	freq:414.4381	ampl:0.1813376
time:1715233547.7285252	freq:413.99182	ampl:0.21199432
time:1715233547.8135638	freq:492.92642	ampl:0.3937695
time:1715233547.92015	freq:493.28143	ampl:0.2650274
time:1715233548.091037	freq:513.9942	ampl:0.21796782
time:1715233548.197599	freq:518.855	ampl:0.41681102
time:1715233548.2828841	freq:521.70355	ampl:0.32713196
time:1715233548.389652	freq:522.18835	ampl:0.25057676
time:1715233548.473779	freq:521.4948	ampl:0.3632334
time:1715233548.5603251	freq:585.30676	ampl:0.26380298
time:1715233548.6670542	freq:587.7537	ampl:0.24317694
time:1715233548.752489	freq:585.91473	ampl:0.31473398
time:1715233548.8377361	freq:621.28253	ampl:0.52851915
time:1715233548.944205	freq:623.4609	ampl:0.2869734
time:1715233549.029742	freq:620.95276	ampl:0.19994771
time:1715233549.1151628	freq:621.17694	ampl:0.19846566
time:1715233549.221542	freq:698.8312	ampl:0.29907063
time:1715233549.306953	freq:697.6398	ampl:0.23348531
time:1715233549.39296	freq:697.6321	ampl:0.2046735
time:1715233549.4990191	freq:783.6337	ampl:0.40352124
time:1715233549.58455	freq:782.8071	ampl:0.3484306
time:1715233549.6697578	freq:783.68695	ampl:0.300306
time:1715233549.776514	freq:782.27527	ampl:0.24431294
time:1715233549.861742	freq:827.2749	ampl:0.28743228
time:1715233549.968318	freq:828.89087	ampl:0.16862945
time:1715233550.053716	freq:828.24286	ampl:0.13184914
time:1715233550.138915	freq:985.17194	ampl:0.4463978
time:1715233550.245527	freq:987.02997	ampl:0.5277371
time:1715233550.3307881	freq:987.4343	ampl:0.3758174
time:1715233550.416263	freq:986.506	ampl:0.22156593
time:1715233550.5212889	freq:1044.7955	ampl:0.2832321
time:1715233550.608175	freq:1044.5833	ampl:0.24948417
time:1715233550.693871	freq:1045.284	ampl:0.15803967
time:1715233550.800525	freq:1044.0933	ampl:0.16662966
time:1715233550.885507	freq:985.75433	ampl:0.6253941
time:1715233550.970708	freq:987.30035	ampl:0.50219166
time:1715233551.077524	freq:987.2746	ampl:0.306702
time:1715233551.162939	freq:986.4503	ampl:0.24502622
time:1715233551.2484112	freq:827.37524	ampl:0.2979997
time:1715233551.355075	freq:828.6709	ampl:0.17675908
time:1715233551.440421	freq:828.2338	ampl:0.14496523
time:1715233551.547245	freq:783.1054	ampl:0.3405955
time:1715233551.632365	freq:783.3245	ampl:0.35559505
time:1715233551.717778	freq:782.9597	ampl:0.28962547
time:1715233551.824465	freq:783.45575	ampl:0.26009333
time:1715233551.909436	freq:698.2315	ampl:0.4000823
time:1715233551.994775	freq:697.73193	ampl:0.39711368
time:1715233552.101735	freq:697.18463	ampl:0.3240718
time:1715233552.1868591	freq:623.8632	ampl:0.52937686
time:1715233552.272187	freq:621.36926	ampl:0.37520653
time:1715233552.379113	freq:622.5682	ampl:0.30940294
time:1715233552.464412	freq:310.66486	ampl:0.24181034
time:1715233552.5492148	freq:581.53656	ampl:0.33349794
time:1715233552.656713	freq:586.05835	ampl:0.2353322
time:1715233552.7417932	freq:588.1695	ampl:0.22468816
time:1715233552.826892	freq:584.99194	ampl:0.29989848
time:1715233552.9336162	freq:519.19946	ampl:0.3552988
time:1715233553.018878	freq:521.1001	ampl:0.33554244
time:1715233553.1258578	freq:521.6001	ampl:0.2548123
time:1715233553.2109609	freq:521.8839	ampl:0.31380758
time:1715233553.2961922	freq:493.1441	ampl:0.40103543
time:1715233553.402865	freq:492.84872	ampl:0.22714579
time:1715233553.571797	freq:412.08722	ampl:0.61794114
time:1715233553.6801949	freq:413.23456	ampl:0.3764527
time:1715233553.765765	freq:414.53217	ampl:0.1457918
time:1715233553.8511581	freq:413.87375	ampl:0.3143748
time:1715233553.957592	freq:389.5752	ampl:0.64149594
time:1715233554.042801	freq:389.87772	ampl:0.5246736
time:1715233554.1280131	freq:390.04193	ampl:0.3702889
time:1715233554.234813	freq:342.60663	ampl:0.3972096
time:1715233554.3200731	freq:348.4676	ampl:0.39372522
time:1715233554.426827	freq:348.2732	ampl:0.25381425
time:1715233554.51228	freq:349.49335	ampl:0.21455796
time:1715233554.5965781	freq:310.26172	ampl:0.40057915
time:1715233554.704325	freq:309.94263	ampl:0.38766322
time:1715233554.78985	freq:310.04074	ampl:0.3513592
time:1715233554.874893	freq:310.47534	ampl:0.29453582
time:1715233554.981519	freq:292.744	ampl:0.27311733
time:1715233555.066656	freq:292.82907	ampl:0.26638618
time:1715233555.1470141	freq:292.7278	ampl:0.26195598
time:1715233555.259183	freq:292.8508	ampl:0.22942345
time:1715233555.3440828	freq:262.45993	ampl:0.37844694
time:1715233555.4293919	freq:260.715	ampl:0.32662576
time:1715233555.53613	freq:260.688	ampl:0.24454008
time:1715233555.6215081	freq:260.62137	ampl:0.19833532
time:1715233555.70682	freq:260.4854	ampl:0.18293838
time:1715233555.813648	freq:260.4584	ampl:0.15862028
time:1715233555.898751	freq:260.6145	ampl:0.13286103
