config:	0.12886831164360046	0.30120810866355896
time:1715232492.537983	freq:519.38696	ampl:0.20084912
time:1715232492.644705	freq:261.25735	ampl:0.5442691
time:1715232492.7298641	freq:260.49786	ampl:0.43813023
time:1715232492.814969	freq:260.4413	ampl:0.36646307
time:1715232492.9220328	freq:260.49417	ampl:0.3116165
time:1715232493.0072951	freq:260.85727	ampl:0.30164713
time:1715232493.0927749	freq:131.32825	ampl:0.3048512
time:1715232493.199222	freq:328.3149	ampl:0.2356079
time:1715232493.284608	freq:328.4253	ampl:0.2074895
time:1715232493.369646	freq:388.5465	ampl:0.50728214
time:1715232493.476304	freq:389.69937	ampl:0.5833612
time:1715232493.5618439	freq:390.63913	ampl:0.35277647
time:1715232493.647291	freq:390.56665	ampl:0.2648624
time:1715232493.753962	freq:130.28596	ampl:0.30148
time:1715232493.839055	freq:520.7501	ampl:0.39942044
time:1715232493.946056	freq:521.7093	ampl:0.28221244
time:1715232494.0310268	freq:521.60706	ampl:0.2507756
time:1715232494.116321	freq:659.25146	ampl:0.516964
time:1715232494.2231278	freq:656.60944	ampl:0.8463996
time:1715232494.308317	freq:657.0376	ampl:0.552547
time:1715232494.393914	freq:658.5948	ampl:0.26955998
time:1715232494.5004458	freq:261.802	ampl:0.27456895
time:1715232494.585876	freq:783.2485	ampl:0.4379394
time:1715232494.6711679	freq:782.77795	ampl:0.34356716
time:1715232494.7778869	freq:131.28886	ampl:0.2959588
time:1715232494.863162	freq:130.65639	ampl:0.32089537
time:1715232494.947459	freq:1044.2882	ampl:0.36908746
time:1715232495.055351	freq:1046.1844	ampl:0.2598134
time:1715232495.140434	freq:1044.3018	ampl:0.20076694
time:1715232495.225699	freq:260.9873	ampl:0.3509542
time:1715232495.33231	freq:783.09985	ampl:0.39115372
time:1715232495.4178882	freq:783.42065	ampl:0.27315834
time:1715232495.5244632	freq:655.8039	ampl:0.29191336
time:1715232495.609758	freq:655.36694	ampl:0.8954462
time:1715232495.695005	freq:657.7094	ampl:0.72585124
time:1715232495.80182	freq:658.377	ampl:0.41128343
time:1715232495.8872151	freq:658.60504	ampl:0.19163711
time:1715232495.972784	freq:518.86816	ampl:0.29092762
time:1715232496.079214	freq:521.38135	ampl:0.24915765
time:1715232496.164407	freq:521.6137	ampl:0.22326872
time:1715232496.2499862	freq:521.7829	ampl:0.20569937
time:1715232496.3564348	freq:390.2269	ampl:0.6576171
time:1715232496.441863	freq:390.62213	ampl:0.6911937
time:1715232496.5270228	freq:390.7561	ampl:0.41912648
time:1715232496.6340141	freq:390.55554	ampl:0.33797002
time:1715232496.7190208	freq:391.83188	ampl:0.20517641
time:1715232496.804605	freq:328.48898	ampl:0.15018336
time:1715232497.1883368	freq:131.27745	ampl:0.43711045
time:1715232497.273876	freq:260.60956	ampl:0.3564992
time:1715232497.3806581	freq:260.53568	ampl:0.2925687
time:1715232497.465771	freq:260.4676	ampl:0.24386849
time:1715232497.5511189	freq:260.32346	ampl:0.22213182
time:1715232497.657882	freq:260.55707	ampl:0.19585864
time:1715232497.743322	freq:260.6083	ampl:0.15970038
time:1715232497.828563	freq:260.33496	ampl:0.1572859
time:1715232497.935509	freq:260.36435	ampl:0.14753243
time:1715232498.106104	freq:263.27756	ampl:0.16007353
time:1715232498.2128692	freq:88.062996	ampl:0.18125558
