config:	0.12886831164360046	0.30120810866355896
time:1715233689.508266	freq:252.94118	ampl:0.14513175
time:1715233689.593398	freq:131.12941	ampl:0.54599816
time:1715233689.678856	freq:130.57646	ampl:0.52823466
time:1715233689.78544	freq:130.92921	ampl:0.42566857
time:1715233689.870779	freq:130.21864	ampl:0.551866
time:1715233689.977447	freq:145.42586	ampl:0.6620264
time:1715233690.063165	freq:146.18086	ampl:0.5142778
time:1715233690.148406	freq:146.36086	ampl:0.51466465
time:1715233690.2548141	freq:163.56873	ampl:0.34917206
time:1715233690.340224	freq:164.11812	ampl:0.29279134
time:1715233690.425426	freq:344.26508	ampl:0.42357877
time:1715233690.532154	freq:175.24275	ampl:0.47744608
time:1715233690.617433	freq:173.9501	ampl:0.43190736
time:1715233690.702847	freq:174.94531	ampl:0.4395804
time:1715233690.809494	freq:195.3721	ampl:0.51067716
time:1715233690.894847	freq:195.10985	ampl:0.46254382
time:1715233690.980217	freq:194.56483	ampl:0.4831256
time:1715233691.0868921	freq:194.70924	ampl:0.64539456
time:1715233691.172322	freq:219.47908	ampl:0.5397425
time:1715233691.279056	freq:219.99825	ampl:0.46970087
time:1715233691.3640718	freq:247.41757	ampl:0.4409211
time:1715233691.449554	freq:246.35701	ampl:0.3022797
time:1715233691.556385	freq:75.63477	ampl:0.38330686
time:1715233691.641399	freq:261.13553	ampl:0.6260795
time:1715233691.72675	freq:260.73618	ampl:0.4918688
time:1715233691.8336449	freq:260.78726	ampl:0.4132937
time:1715233691.9188519	freq:293.4683	ampl:0.5346353
time:1715233692.004274	freq:292.87732	ampl:0.4695672
time:1715233692.111001	freq:292.75516	ampl:0.4168879
time:1715233692.1961598	freq:329.51175	ampl:0.3361321
time:1715233692.2816238	freq:328.53625	ampl:0.2760591
time:1715233692.388143	freq:347.37924	ampl:0.39826888
time:1715233692.4735851	freq:348.70554	ampl:0.40549958
time:1715233692.558871	freq:347.6814	ampl:0.2609196
time:1715233692.6656718	freq:390.23007	ampl:0.6310479
time:1715233692.750698	freq:390.66876	ampl:0.62717533
time:1715233692.857445	freq:391.21368	ampl:0.4826624
time:1715233692.9428449	freq:390.27173	ampl:0.563799
time:1715233693.0283132	freq:438.14728	ampl:0.5703084
time:1715233693.134585	freq:438.59335	ampl:0.53304803
time:1715233693.2203178	freq:492.7943	ampl:0.5608203
time:1715233693.305752	freq:492.83008	ampl:0.38530692
time:1715233693.41224	freq:493.57416	ampl:0.22619429
time:1715233693.4976401	freq:518.1188	ampl:0.41446245
time:1715233693.582921	freq:521.66736	ampl:0.3566254
time:1715233693.6896272	freq:521.95856	ampl:0.3222254
time:1715233693.7747722	freq:585.01776	ampl:0.41114295
time:1715233693.860055	freq:588.0512	ampl:0.24893823
time:1715233693.967091	freq:658.9674	ampl:0.5284092
time:1715233694.052109	freq:656.8547	ampl:0.7767674
time:1715233694.137404	freq:658.3184	ampl:0.515532
time:1715233694.244594	freq:699.4415	ampl:0.40519765
time:1715233694.329496	freq:697.6258	ampl:0.49396
time:1715233694.4360409	freq:697.57263	ampl:0.40272948
time:1715233694.521397	freq:783.47473	ampl:0.46895757
time:1715233694.606979	freq:782.38715	ampl:0.3912589
time:1715233694.713533	freq:778.75903	ampl:0.34656048
time:1715233694.7992148	freq:877.46405	ampl:0.41262698
time:1715233694.884231	freq:879.6107	ampl:0.30090484
time:1715233694.991084	freq:97.852684	ampl:0.30573103
time:1715233695.0761662	freq:986.14276	ampl:0.6651407
time:1715233695.16182	freq:987.199	ampl:0.5270765
time:1715233695.268458	freq:987.2611	ampl:0.34276086
time:1715233695.353483	freq:1061.5499	ampl:0.36839855
time:1715233695.438668	freq:1044.8899	ampl:0.24185835
time:1715233695.54562	freq:985.5875	ampl:0.44525865
time:1715233695.630949	freq:986.8404	ampl:0.5138665
time:1715233695.715986	freq:986.8643	ampl:0.3893661
time:1715233695.822783	freq:987.86414	ampl:0.32453385
time:1715233695.9082088	freq:878.5132	ampl:0.31795692
time:1715233696.0147948	freq:880.1612	ampl:0.16993228
time:1715233696.100236	freq:784.1924	ampl:0.35126323
time:1715233696.185655	freq:783.15186	ampl:0.37598678
time:1715233696.292698	freq:783.1326	ampl:0.311069
time:1715233696.377507	freq:698.12115	ampl:0.4186559
time:1715233696.462892	freq:698.06964	ampl:0.41691646
time:1715233696.569734	freq:697.47516	ampl:0.4191854
time:1715233696.6548529	freq:656.6669	ampl:0.79741
time:1715233696.739979	freq:657.4104	ampl:0.58948827
time:1715233696.8467221	freq:660.2365	ampl:0.33768722
time:1715233696.932091	freq:583.4927	ampl:0.3458869
time:1715233697.017705	freq:585.43604	ampl:0.2385455
time:1715233697.124093	freq:587.32733	ampl:0.334782
time:1715233697.20956	freq:585.82367	ampl:0.4075585
time:1715233697.31602	freq:521.6078	ampl:0.32909837
time:1715233697.40177	freq:520.25354	ampl:0.3576575
time:1715233697.486671	freq:493.38678	ampl:0.3720246
time:1715233697.593789	freq:493.67938	ampl:0.22255035
time:1715233697.678815	freq:438.08566	ampl:0.60314906
time:1715233697.764058	freq:438.92288	ampl:0.6748342
time:1715233697.8706942	freq:437.96365	ampl:0.59030694
time:1715233697.9559588	freq:438.49283	ampl:0.7402747
time:1715233698.041579	freq:389.80792	ampl:0.6620939
time:1715233698.148006	freq:390.77887	ampl:0.45701432
time:1715233698.23353	freq:348.10953	ampl:0.41658446
time:1715233698.318954	freq:348.65692	ampl:0.26126453
time:1715233698.4254642	freq:325.73895	ampl:0.35554352
time:1715233698.5109181	freq:329.18988	ampl:0.3178997
time:1715233698.5961351	freq:328.66647	ampl:0.29140434
time:1715233698.702975	freq:328.15665	ampl:0.43014613
time:1715233698.788146	freq:292.7428	ampl:0.49288428
time:1715233698.894868	freq:292.7522	ampl:0.45043498
time:1715233698.980077	freq:262.42957	ampl:0.5855137
time:1715233699.065697	freq:260.7931	ampl:0.4574541
time:1715233699.1723208	freq:260.82028	ampl:0.38109586
time:1715233699.257647	freq:247.22868	ampl:0.3841829
time:1715233699.343083	freq:245.77426	ampl:0.28545368
time:1715233699.4495559	freq:247.21844	ampl:0.3372663
time:1715233699.5347528	freq:219.59761	ampl:0.6710554
time:1715233699.620082	freq:219.4499	ampl:0.6012163
time:1715233699.7268949	freq:219.4682	ampl:0.5460298
time:1715233699.812002	freq:195.92188	ampl:0.585791
time:1715233699.8975182	freq:194.88286	ampl:0.5228908
time:1715233700.004257	freq:194.78067	ampl:0.51938856
time:1715233700.0897841	freq:175.19507	ampl:0.46663684
time:1715233700.1748981	freq:173.73622	ampl:0.35417145
time:1715233700.2816272	freq:174.38898	ampl:0.38238746
time:1715233700.366737	freq:163.38608	ampl:0.28587246
time:1715233700.473734	freq:163.335	ampl:0.25105837
time:1715233700.558765	freq:145.45764	ampl:0.5671273
time:1715233700.644217	freq:145.58585	ampl:0.5462989
time:1715233700.750725	freq:146.30605	ampl:0.46108878
time:1715233700.836308	freq:292.41916	ampl:0.46828458
