config:	0.12886831164360046	0.30120810866355896
time:1715233427.067745	freq:131.59904	ampl:0.18637326
time:1715233427.153253	freq:130.7901	ampl:0.34000129
time:1715233427.259848	freq:130.66605	ampl:0.25862533
time:1715233427.3453488	freq:130.55008	ampl:0.22533643
time:1715233427.430423	freq:147.38324	ampl:0.41463068
time:1715233427.537099	freq:146.31569	ampl:0.50356543
time:1715233427.622453	freq:146.34483	ampl:0.45344758
time:1715233427.708276	freq:146.5025	ampl:0.34836757
time:1715233427.814704	freq:145.42116	ampl:0.2628881
time:1715233428.092202	freq:342.57672	ampl:0.20685606
time:1715233428.1771998	freq:174.93622	ampl:0.37062472
time:1715233428.262779	freq:173.81825	ampl:0.3046119
time:1715233428.3690228	freq:173.59064	ampl:0.2592319
time:1715233428.454607	freq:174.85988	ampl:0.2823915
time:1715233428.561055	freq:195.62979	ampl:0.37815782
time:1715233428.646435	freq:195.24167	ampl:0.34374014
time:1715233428.73182	freq:195.81638	ampl:0.30612764
time:1715233428.838589	freq:195.22049	ampl:0.17997073
