config:	0.12886831164360046	0.30120810866355896
time:1715233646.543435	freq:49.031937	ampl:0.14491685
time:1715233646.650035	freq:130.16165	ampl:0.49734232
time:1715233646.735269	freq:131.20454	ampl:0.4546133
time:1715233646.820438	freq:130.50946	ampl:0.3542872
time:1715233646.927122	freq:261.4929	ampl:0.4887499
time:1715233647.0124578	freq:145.98299	ampl:0.5070999
time:1715233647.1194391	freq:146.37888	ampl:0.3924198
time:1715233647.2045798	freq:292.72015	ampl:0.40588585
time:1715233647.2901468	freq:154.43744	ampl:0.2984985
time:1715233647.396714	freq:154.68462	ampl:0.24203432
time:1715233647.481822	freq:173.82043	ampl:0.40898973
time:1715233647.567174	freq:174.74356	ampl:0.38724154
time:1715233647.6742392	freq:173.62144	ampl:0.31539014
time:1715233647.7593389	freq:176.14589	ampl:0.2980628
time:1715233647.844479	freq:195.78185	ampl:0.41022488
time:1715233647.951281	freq:194.89221	ampl:0.39002192
time:1715233648.036602	freq:195.6951	ampl:0.3959921
time:1715233648.121875	freq:194.86172	ampl:0.42368296
time:1715233648.228479	freq:207.15611	ampl:0.37426513
time:1715233648.314067	freq:207.09683	ampl:0.34666857
time:1715233648.420598	freq:232.98177	ampl:0.7136105
time:1715233648.5058851	freq:232.54376	ampl:0.75662595
time:1715233648.591274	freq:233.56236	ampl:0.4492275
time:1715233648.698018	freq:261.34775	ampl:0.4787008
time:1715233648.783236	freq:260.5212	ampl:0.38016173
time:1715233648.868653	freq:261.4376	ampl:0.3553534
time:1715233648.9752688	freq:293.03387	ampl:0.49626404
time:1715233649.060611	freq:292.91687	ampl:0.49525246
time:1715233649.145911	freq:293.3903	ampl:0.44728208
time:1715233649.2526112	freq:310.1432	ampl:0.4480162
time:1715233649.33797	freq:309.94385	ampl:0.41856104
time:1715233649.423349	freq:310.63412	ampl:0.4728934
time:1715233649.530096	freq:348.63245	ampl:0.3458735
time:1715233649.615664	freq:347.40427	ampl:0.23200561
time:1715233649.700562	freq:390.04486	ampl:0.63813186
time:1715233649.807188	freq:390.85687	ampl:0.60064626
time:1715233649.892447	freq:390.37177	ampl:0.47038913
time:1715233649.999236	freq:390.96408	ampl:0.6921202
time:1715233650.0847812	freq:413.58044	ampl:0.30442467
time:1715233650.170059	freq:413.7275	ampl:0.1666645
time:1715233650.271501	freq:463.52686	ampl:0.43157023
time:1715233650.3619308	freq:464.20734	ampl:0.50202143
time:1715233650.4472132	freq:464.08136	ampl:0.38606
time:1715233650.553952	freq:464.73184	ampl:0.28366855
time:1715233650.639467	freq:521.57	ampl:0.23491481
time:1715233650.724794	freq:520.9058	ampl:0.24345905
time:1715233650.8313231	freq:591.5809	ampl:0.33968186
time:1715233650.916441	freq:586.7208	ampl:0.1865077
time:1715233651.0019488	freq:584.69244	ampl:0.39819157
time:1715233651.1086059	freq:620.96765	ampl:0.42970657
time:1715233651.193809	freq:310.3158	ampl:0.26382568
time:1715233651.27952	freq:698.88086	ampl:0.37230214
time:1715233651.386343	freq:698.25195	ampl:0.4132309
time:1715233651.471524	freq:698.3435	ampl:0.3594776
time:1715233651.5781531	freq:774.8848	ampl:0.4198686
time:1715233651.663389	freq:782.5347	ampl:0.36891696
time:1715233651.748394	freq:783.5461	ampl:0.3375247
time:1715233651.855268	freq:818.563	ampl:0.34813142
time:1715233651.940703	freq:828.53107	ampl:0.27722836
time:1715233652.025912	freq:829.0872	ampl:0.20882037
time:1715233652.13259	freq:930.51276	ampl:0.4559057
time:1715233652.217754	freq:928.2029	ampl:0.42727932
time:1715233652.303256	freq:928.6696	ampl:0.23817702
time:1715233652.410308	freq:1046.324	ampl:0.26553935
time:1715233652.495234	freq:1044.7885	ampl:0.21101435
time:1715233652.580859	freq:1044.9553	ampl:0.15457925
time:1715233652.687276	freq:930.3477	ampl:0.37725908
time:1715233652.772366	freq:928.2614	ampl:0.33983168
time:1715233652.858088	freq:116.15746	ampl:0.26618245
time:1715233652.9646668	freq:827.1653	ampl:0.28741688
time:1715233653.0502892	freq:828.7404	ampl:0.17738573
time:1715233653.15695	freq:789.13916	ampl:0.2646094
time:1715233653.241996	freq:783.6185	ampl:0.4297447
time:1715233653.327064	freq:783.0385	ampl:0.37378484
time:1715233653.434025	freq:784.1432	ampl:0.4361819
time:1715233653.519353	freq:697.9694	ampl:0.5020263
time:1715233653.604492	freq:697.77747	ampl:0.41704172
time:1715233653.7112699	freq:623.98895	ampl:0.57168365
time:1715233653.796619	freq:619.8605	ampl:0.35101247
time:1715233653.881768	freq:621.0721	ampl:0.3134387
time:1715233653.9886189	freq:581.33716	ampl:0.37785238
time:1715233654.073725	freq:584.66943	ampl:0.31321523
time:1715233654.1592221	freq:585.3286	ampl:0.27116796
time:1715233654.265827	freq:517.4274	ampl:0.3330372
time:1715233654.3512058	freq:520.10535	ampl:0.35147527
time:1715233654.4579191	freq:520.5785	ampl:0.2998276
time:1715233654.543243	freq:464.41428	ampl:0.35408434
time:1715233654.628316	freq:463.9827	ampl:0.43651614
