config:	0.12886831164360046	0.30120810866355896
time:1715232346.769495	freq:146.7837	ampl:0.15919758
time:1715232346.876065	freq:145.33894	ampl:0.6740818
time:1715232346.961359	freq:145.68738	ampl:0.5490332
time:1715232347.046649	freq:145.0814	ampl:0.52963126
time:1715232347.1534119	freq:163.66336	ampl:0.3132865
time:1715232347.238683	freq:53.797424	ampl:0.3075234
time:1715232347.345796	freq:183.69585	ampl:0.3437202
time:1715232347.430811	freq:184.66098	ampl:0.26838133
time:1715232347.516005	freq:196.30849	ampl:0.3887366
time:1715232347.62303	freq:194.84074	ampl:0.42145965
time:1715232347.7080731	freq:194.73915	ampl:0.44802958
time:1715232347.7934852	freq:219.42833	ampl:0.5782002
time:1715232347.900063	freq:219.11696	ampl:0.4653087
time:1715232347.985256	freq:246.85152	ampl:0.3844148
time:1715232348.070966	freq:246.57816	ampl:0.24585536
time:1715232348.177392	freq:275.54904	ampl:0.38846594
time:1715232348.262738	freq:276.88763	ampl:0.42994896
time:1715232348.348363	freq:292.94907	ampl:0.45781183
time:1715232348.454915	freq:292.79758	ampl:0.4583961
time:1715232348.5399442	freq:293.335	ampl:0.43635628
time:1715232348.646689	freq:329.29803	ampl:0.3515682
time:1715232348.731985	freq:327.14752	ampl:0.4342869
time:1715232348.817343	freq:369.42273	ampl:0.46042302
time:1715232348.924097	freq:368.74713	ampl:0.4765189
time:1715232349.009239	freq:389.82996	ampl:0.6519978
time:1715232349.094598	freq:390.01575	ampl:0.5955687
time:1715232349.201303	freq:438.34744	ampl:0.515259
time:1715232349.286715	freq:438.1521	ampl:0.5535458
time:1715232349.372091	freq:439.12946	ampl:0.5643916
time:1715232349.4790158	freq:492.7592	ampl:0.3569087
time:1715232349.564039	freq:493.51385	ampl:0.2926967
time:1715232349.649477	freq:556.5516	ampl:0.31669095
time:1715232349.75613	freq:553.72595	ampl:0.29048228
time:1715232349.8415031	freq:579.67303	ampl:0.3054642
time:1715232349.926618	freq:660.76465	ampl:0.4532449
time:1715232350.0333061	freq:585.4962	ampl:0.84845847
time:1715232350.118726	freq:656.7838	ampl:0.650061
time:1715232350.225518	freq:724.4376	ampl:0.39071935
time:1715232350.310938	freq:739.88055	ampl:0.38932914
time:1715232350.3959498	freq:781.5668	ampl:0.38027662
time:1715232350.502777	freq:783.0944	ampl:0.4094207
time:1715232350.5879822	freq:783.554	ampl:0.34574258
time:1715232350.673418	freq:878.38135	ampl:0.28443578
time:1715232350.779984	freq:98.750305	ampl:0.26689488
time:1715232350.865272	freq:987.2025	ampl:0.55969477
time:1715232350.950875	freq:986.92175	ampl:0.37629107
time:1715232351.057283	freq:986.94104	ampl:0.26282808
time:1715232351.142585	freq:990.51166	ampl:0.18902895
time:1715232351.505476	freq:1109.3622	ampl:0.17467147
time:1715232351.69732	freq:987.24304	ampl:0.28503576
time:1715232351.8038049	freq:986.1881	ampl:0.33415505
time:1715232351.889617	freq:987.6216	ampl:0.25614434
time:1715232351.974623	freq:879.55505	ampl:0.3603324
time:1715232352.081102	freq:881.7543	ampl:0.26030725
time:1715232352.166541	freq:782.54694	ampl:0.318297
time:1715232352.251885	freq:783.397	ampl:0.29245514
time:1715232352.358999	freq:726.1643	ampl:0.52595264
time:1715232352.4438539	freq:739.35626	ampl:0.5639759
time:1715232352.529162	freq:656.43604	ampl:0.7952319
time:1715232352.636117	freq:658.384	ampl:0.7206167
time:1715232352.721348	freq:656.5402	ampl:0.37261817
time:1715232352.8064718	freq:583.8496	ampl:0.19040322
time:1715232352.913382	freq:586.0401	ampl:0.34171623
time:1715232352.999107	freq:584.42896	ampl:0.31736568
time:1715232353.0840359	freq:552.6024	ampl:0.24093008
time:1715232353.190696	freq:492.31158	ampl:0.33283192
time:1715232353.275933	freq:493.24442	ampl:0.30752152
time:1715232353.38308	freq:492.37036	ampl:0.32957307
time:1715232353.468054	freq:438.70847	ampl:0.5905434
time:1715232353.553715	freq:438.84076	ampl:0.50624406
time:1715232353.6601028	freq:389.94135	ampl:0.63475364
time:1715232353.745308	freq:390.12366	ampl:0.5657939
time:1715232353.8306541	freq:388.38196	ampl:0.3885352
time:1715232353.93749	freq:368.8174	ampl:0.32390445
time:1715232354.0227041	freq:369.44125	ampl:0.35854924
time:1715232354.107898	freq:328.19943	ampl:0.3632723
time:1715232354.2146301	freq:326.9647	ampl:0.3100379
time:1715232354.299903	freq:292.84222	ampl:0.38893574
time:1715232354.3855371	freq:292.96747	ampl:0.42303035
time:1715232354.492091	freq:275.60312	ampl:0.48769495
time:1715232354.5773082	freq:276.53696	ampl:0.47542688
time:1715232354.6840029	freq:277.6185	ampl:0.4129515
time:1715232354.769485	freq:246.48318	ampl:0.31209505
time:1715232354.854836	freq:245.83955	ampl:0.2618113
time:1715232354.96141	freq:219.55797	ampl:0.5364888
time:1715232355.046912	freq:219.10971	ampl:0.50882393
time:1715232355.131966	freq:73.70923	ampl:0.5164457
time:1715232355.238603	freq:195.01169	ampl:0.47286722
time:1715232355.323978	freq:195.32083	ampl:0.4487933
time:1715232355.409782	freq:195.9644	ampl:0.47313353
time:1715232355.516201	freq:184.5212	ampl:0.30458727
time:1715232355.601263	freq:162.49841	ampl:0.39222062
time:1715232355.6866179	freq:164.08554	ampl:0.3079286
time:1715232355.793654	freq:162.82523	ampl:0.30569905
time:1715232355.878717	freq:145.42151	ampl:0.6455318
time:1715232355.963733	freq:146.0217	ampl:0.5170407
time:1715232356.0705938	freq:146.56416	ampl:0.47556597
time:1715232356.1560168	freq:146.47804	ampl:0.37027916
time:1715232356.262821	freq:146.0009	ampl:0.34033743
time:1715232356.348013	freq:146.2905	ampl:0.29349273
time:1715232356.433708	freq:146.3987	ampl:0.24793857
time:1715232356.5401258	freq:146.30286	ampl:0.213367
time:1715232356.625314	freq:146.40622	ampl:0.17420109
time:1715232356.710937	freq:146.39095	ampl:0.16315804
time:1715232356.817484	freq:146.06648	ampl:0.15729171
time:1715232356.902699	freq:146.10594	ampl:0.14620923
time:1715232356.988083	freq:146.70045	ampl:0.1303872
