config:    0.01 tapBufferSize:    4096
time:1721688400.202537    freq:100.0    ampl:6.309573e-08
time:1721688400.313675    freq:100.0    ampl:0.00085021585
time:1721688400.400465    freq:100.0    ampl:0.008664117
time:1721688400.485372    freq:100.0    ampl:0.011586714
time:1721688400.596611    freq:100.0    ampl:0.011778116
time:1721688400.680316    freq:100.0    ampl:0.0095542995
time:1721688400.7657108    freq:100.0    ampl:0.00962522
time:1721688400.872591    freq:1932.7482    ampl:0.009402475
time:1721688400.9576821    freq:1932.7482    ampl:0.008179203
time:1721688401.043051    freq:141.81291    ampl:0.008942617
time:1721688401.149828    freq:141.81291    ampl:0.008668719
time:1721688401.235179    freq:141.81291    ampl:0.008494179
time:1721688401.320621    freq:141.81291    ampl:0.009097455
time:1721688401.42703    freq:30.25652    ampl:0.009324842
time:1721688401.5114179    freq:132.03047    ampl:0.06768865
time:1721688401.596566    freq:323.76483    ampl:0.26220575
time:1721688401.703588    freq:328.70718    ampl:0.23276657
time:1721688401.788577    freq:328.8627    ampl:0.21194685
time:1721688401.895407    freq:328.79013    ampl:0.1876397
time:1721688401.980595    freq:328.74512    ampl:0.159957
time:1721688402.066454    freq:82.20876    ampl:0.3784403
time:1721688402.172909    freq:413.2405    ampl:0.6225873
time:1721688402.257905    freq:414.14844    ampl:0.39582345
time:1721688402.343168    freq:414.15073    ampl:0.30342865
time:1721688402.450041    freq:414.02945    ampl:0.23166819
time:1721688402.535228    freq:164.50536    ampl:0.3655539
time:1721688402.6205878    freq:492.96912    ampl:0.35917777
time:1721688402.727253    freq:493.11603    ampl:0.24433139
time:1721688402.8126621    freq:493.83658    ampl:0.123197615
time:1721688402.898035    freq:661.7776    ampl:0.31482106
time:1721688403.0047488    freq:656.7822    ampl:0.52920854
time:1721688403.090071    freq:657.2943    ampl:0.39172208
time:1721688403.196765    freq:656.7269    ampl:0.22627558
time:1721688403.282335    freq:164.63446    ampl:0.12843911
time:1721688403.3674788    freq:164.70879    ampl:0.30434126
time:1721688403.47401    freq:828.80975    ampl:0.18124412
time:1721688403.5592709    freq:828.8217    ampl:0.1674144
time:1721688403.6446571    freq:828.3727    ampl:0.15942064
time:1721688403.751446    freq:987.45825    ampl:0.3131195
time:1721688403.8366241    freq:987.2841    ampl:0.20246239
time:1721688403.9219332    freq:989.06537    ampl:0.09895823
time:1721688404.0287871    freq:329.1873    ampl:0.09553587
time:1721688404.114231    freq:1320.8868    ampl:0.3805981
time:1721688404.199583    freq:1318.608    ampl:0.2768524
time:1721688404.305872    freq:1318.0939    ampl:0.1480348
time:1721688404.3913388    freq:1318.7797    ampl:0.14820419
time:1721688404.476362    freq:329.2167    ampl:0.18095286
time:1721688404.583528    freq:329.19302    ampl:0.16201143
time:1721688404.6689138    freq:987.7449    ampl:0.07145916
time:1721688404.775192    freq:330.97122    ampl:0.0488677
time:1721688404.86034    freq:829.24713    ampl:0.2434877
time:1721688404.946064    freq:828.4271    ampl:0.2181222
time:1721688405.052676    freq:828.9984    ampl:0.1634208
time:1721688405.138114    freq:828.45764    ampl:0.16427308
time:1721688405.223284    freq:165.61691    ampl:0.19049941
time:1721688405.3296561    freq:656.77155    ampl:0.47443485
time:1721688405.415101    freq:656.96484    ampl:0.38127464
time:1721688405.500749    freq:657.40265    ampl:0.26624396
time:1721688405.607305    freq:656.20123    ampl:0.12265289
time:1721688405.6922112    freq:490.644    ampl:0.22987126
time:1721688405.777693    freq:492.56384    ampl:0.3998255
time:1721688405.884172    freq:492.89    ampl:0.330096
time:1721688405.969867    freq:492.58878    ampl:0.18210247
time:1721688406.055167    freq:492.93283    ampl:0.14767168
time:1721688406.1629071    freq:412.39136    ampl:0.5363493
time:1721688406.247222    freq:414.01218    ampl:0.4107484
time:1721688406.3538198    freq:414.08786    ampl:0.2755
time:1721688406.439208    freq:414.13983    ampl:0.18504968
time:1721688406.524584    freq:414.0415    ampl:0.15919353
time:1721688406.631299    freq:82.6643    ampl:0.20704912
time:1721688406.7168431    freq:328.40094    ampl:0.1773742
time:1721688406.802226    freq:328.4658    ampl:0.14692889
time:1721688406.908396    freq:328.65488    ampl:0.12018139
time:1721688406.993787    freq:328.46207    ampl:0.10030627
time:1721688407.0794048    freq:328.33517    ampl:0.091700725
time:1721688407.185776    freq:332.1572    ampl:0.099041365
time:1721688407.27144    freq:22.16686    ampl:0.040351916
time:1721688407.356911    freq:38.579952    ampl:0.03241198
time:1721688407.46376    freq:84.34319    ampl:0.027353846
time:1721688407.549202    freq:339.22687    ampl:0.023856325
time:1721688407.6303968    freq:164.51587    ampl:0.020513743
